Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
3.0, 3.0 Quantum Teleportation, 0.1434143, 0.015242, 0.0126821
3.1, 3.1 Superdense coding of 0, 0.0681794, 0.0012287, 0.0066445
3.2, 3.2 Superdense coding of 1, 0.0669676, 0.0012841, 0.0065094
3.3, 3.3 Superdense coding of 2, 0.0668076, 0.001395, 0.0064801
3.4, 3.4 Superdense coding of 3, 0.0690142, 0.0011548, 0.0067409
3.5, 3.5 Deutsch Algorithm Constant True, 0.072161, 0.001258, 0.0070378
3.6, 3.6 Deutsch Algorithm Constant False, 0.075364, 0.0012934, 0.0073434
3.7, 3.7 Deutsch Algorithm Identity, 0.0659816, 0.001189, 0.0064306
3.8, 3.8 Deutsch Algorithm Inversion, 0.0680712, 0.0013653, 0.0066117
3.9, 3.9 Deutsch-Josza with 3 qubits, 0.0727534, 0.002546, 0.0069678
3.10, 3.10 Bernstein Vazrani for value 3 with 3 qubits, 0.0672511, 0.0016381, 0.0065052
3.11, 3.11 Simons Algorithm for 11, 0.0696027, 0.0015958, 0.0067469
3.12, 3.12 3 Qubit Quantum Fourier Transform, 0.0714247, 0.0013869, 0.0069601
3.13, 3.13 4 Qubit Quantum Fourier Transform, 0.0804937, 0.0021659, 0.0077805
3.14, 3.14 5 Qubit Quantum Fourier Transform, 0.0820128, 0.0020801, 0.0079417
3.15, 3.15 Gover's search with 9 items, 0.094771, 0.0022245, 0.0091967
3.16, 3.16 Quantum Approximate Optimization MaxCut, 0.0757714, 0.0017508, 0.0073381
3.17, 3.17 011_3_qubit_grover_50_, 0.0938637, 0.0028079, 0.0090495
3.18, 3.18 adder, 0.0562818, 0.0023632, 0.0053492
3.19, 3.19 bernstein-vazirani, 0.0751115, 0.0015008, 0.0073102
3.20, 3.20 bigadder, 0.0648817, 0.0048379, 0.0059602
3.21, 3.21 Deutsch_Algorithm, 0.0650703, 0.0016179, 0.0062962
3.22, 3.22 inverseqft1, 0.068254, 0.0015401, 0.0066231
3.23, 3.23 inverseqft2, 0.0712795, 0.0013926, 0.0069256
3.24, 3.24 ipea_3_pi_8, 0.0840075, 0.0022996, 0.0081212
3.25, 3.25 iswap, 0.0724751, 0.0012091, 0.0070547
3.26, 3.26 pea_3_pi_8, 0.0900049, 0.0023652, 0.0087171
3.27, 3.27 qec, 0.0687631, 0.0013701, 0.0066913
3.28, 3.28 qe_qft_3, 0.0702346, 0.0013232, 0.0068433
3.29, 3.29 qe_qft_4, 0.0857358, 0.0020743, 0.0083109
3.30, 3.30 qe_qft_5, 0.0914832, 0.002553, 0.0088268
3.31, 3.31 qft, 0.075522, 0.0016829, 0.007327
3.32, 3.32 qpt, 0.0658234, 0.0011325, 0.0064152
3.33, 3.33 rb, 0.0686187, 0.0014413, 0.0066755
3.34, 3.34 teleport, 0.0653968, 0.0012933, 0.006371
3.35, 3.35 teleportv2, 0.0675601, 0.0012269, 0.0065935
3.36, 3.36 W-state, 0.0702863, 0.0014706, 0.0068061
3.37, 3.37 W3test, 0.069372, 0.0012342, 0.0067727
3.38, 3.38 Shors Quantum Kernel, 22.4390919, 0.3096726, 2.2128302
