"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34","Priority 35","Priority 36","Priority 37","Priority 38","Priority 39","Priority 40","Priority 41","Priority 42","Priority 43","Priority 44","Priority 45","Priority 46","Priority 47","Priority 48","Priority 49","Priority 50","Priority 51","Priority 52","Priority 53","Priority 54","Priority 55","Priority 56","Priority 57","Priority 58","Priority 59","Priority 60","Priority 61","Priority 62","Priority 63","Priority 64","Priority 65","Priority 66","Priority 67","Priority 68","Priority 69","Priority 70","Priority 71","Priority 72","Priority 73","Priority 74","Priority 75","Priority 76","Priority 77","Priority 78","Priority 79","Priority 80","Priority 81","Priority 82","Priority 83","Priority 84","Priority 85","Priority 86"
"0",,,,"q0::u3 (2B085B9)","q0::u3 (ACCE94)","q0::cx* (3ADEBEB)",,,,"q0::cx* (6B610F)",,,,,,,"q0::cx* (250A3BF)","q0::u3 (D5C1BD)","q0::cx* (B4B3CA)",,,,,"q0::u3 (25A521E)","q0::u3 (333D8E7)","q0::u3 (2A4AAB4)","q0::cx* (129F56)",,,,"q0::cx* (145B329)",,,,,,,"q0::cx* (39ACBF3)","q0::u3 (712B8F)","q0::cx* (2450C7D)",,,,,"q0::u3 (6D7068)","q0::u3 (3A51879)","q0::u3 (122B104)","q0::cx* (2F0BFC6)",,,,"q0::cx* (230598)",,,,,,,"q0::cx* (31B0D83)","q0::u3 (3F379A2)","q0::cx* (5560DC)",,,,,"q0::u3 (30067C2)","q0::u3 (277807)","q0::u3 (64CD5C)","q0::cx* (30D0ED3)",,,,"q0::cx* (1A8F0F3)",,,,,,,"q0::cx* (394DE88)","q0::u3 (3BD2CE)","q0::cx* (25B4E00)",,"q0::u3 (135BE04)","q0::u3 (20A1BAA)","q0::measurement (2C8C816)"
"1","q1::u3 (34B389)","q1::u3 (2134339)","q1::cx* (184548)",,,,,"q1::cx* (207A58B)",,,"q1::u3 (3C6698A)","q1::cx* (1C764E0)","q1::u3 (28BE5)","q1::cx* (CE4386)","q1::u3 (3405FBD)","q1::cx* (35E4B15)",,,,"q1::u3 (383CFA6)","q1::u3 (12CE312)","q1::u3 (D2A021)","q1::u3 (3CA0056)","q1::cx* (2EA1B40)",,,,,"q1::cx* (1E46A82)",,,"q1::u3 (3734C77)","q1::cx* (37B31E5)","q1::u3 (354C10E)","q1::cx* (1D1159B)","q1::u3 (59C279)","q1::cx* (668870)",,,,"q1::u3 (3FA880E)","q1::u3 (3D8F3A9)","q1::u3 (CDDC42)","q1::u3 (2383926)","q1::cx* (3CA1554)",,,,,"q1::cx* (22CADE5)",,,"q1::u3 (13B325D)","q1::cx* (3BAEF8A)","q1::u3 (1926BDC)","q1::cx* (35420BD)","q1::u3 (1F526A5)","q1::cx* (2913A63)",,,,"q1::u3 (38F46BA)","q1::u3 (303A5D3)","q1::u3 (1633843)","q1::u3 (38B3844)","q1::cx* (30CCD9D)",,,,,"q1::cx* (321B0CD)",,,"q1::u3 (2F07893)","q1::cx* (21626A7)","q1::u3 (2C75BE6)","q1::cx* (1141402)","q1::u3 (1B4B41A)","q1::cx* (22CFC48)",,,,"q1::u3 (21A6942)","q1::u3 (2E3AE2B)","q1::u3 (25AF8FD)","q1::measurement (10F08C6)"
"2","q2::u3 (1DA4FD7)","q2::u3 (2AD5D08)","q2::cx (184548)",,"q2::u3 (DA6F8B)","q2::cx (3ADEBEB)","q2::u3 (11D4B48)","q2::cx (207A58B)","q2::u3 (244D1E5)","q2::cx (6B610F)","q2::u3 (1F9B5E0)","q2::cx (1C764E0)","q2::u3 (16EB0E)","q2::cx (CE4386)","q2::u3 (1435DAD)","q2::cx (35E4B15)","q2::cx (250A3BF)","q2::u3 (3A24CDD)","q2::cx (B4B3CA)",,"q2::u3 (293FBA7)","q2::u3 (367A130)","q2::u3 (21A0307)","q2::cx (2EA1B40)",,"q2::u3 (23AF542)","q2::cx (129F56)","q2::u3 (A79A0E)","q2::cx (1E46A82)","q2::u3 (107BE92)","q2::cx (145B329)","q2::u3 (30DB035)","q2::cx (37B31E5)","q2::u3 (1FAC983)","q2::cx (1D1159B)","q2::u3 (327D645)","q2::cx (668870)","q2::cx (39ACBF3)","q2::u3 (3CEC87F)","q2::cx (2450C7D)",,"q2::u3 (2A090F1)","q2::u3 (33CBE55)","q2::u3 (3FA025E)","q2::cx (3CA1554)",,"q2::u3 (21ABFF9)","q2::cx (2F0BFC6)","q2::u3 (276BDFD)","q2::cx (22CADE5)","q2::u3 (3921D10)","q2::cx (230598)","q2::u3 (314C548)","q2::cx (3BAEF8A)","q2::u3 (225CABF)","q2::cx (35420BD)","q2::u3 (19E5BD2)","q2::cx (2913A63)","q2::cx (31B0D83)","q2::u3 (97C8A)","q2::cx (5560DC)",,"q2::u3 (320D472)","q2::u3 (7CFA5F)","q2::u3 (3E4FA66)","q2::cx (30CCD9D)",,"q2::u3 (3733A89)","q2::cx (30D0ED3)","q2::u3 (375856C)","q2::cx (321B0CD)","q2::u3 (2F3737)","q2::cx (1A8F0F3)","q2::u3 (2743D2F)","q2::cx (21626A7)","q2::u3 (1023B1C)","q2::cx (1141402)","q2::u3 (35A54EB)","q2::cx (22CFC48)","q2::cx (394DE88)","q2::u3 (2EDB355)","q2::cx (25B4E00)",,"q2::u3 (2011F84)","q2::u3 (132C0E6)","q2::measurement (1874EF7)"
"3"
"4"
"5"
