"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34","Priority 35","Priority 36"
"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"q0::h (299F37B)","q0::u3 (3E1A39B)","q0::u3 (15B851B)","q0::measurement (301A6A0)"
"1","q1::h (3698F54)","q1::cx* (62664B)",,"q1::cx* (3225DD9)",,"q1::swap (3FD6BF2)",,,,,,,,,,"q2::u3 (2EEC07A)","q2::cx* (F2FF2F)",,,"q2::cx* (E2BE13)",,,,,,,,,,,,,,,"q2::u3 (37ADF8)","q2::measurement (30EDBA0)"
"2","q2::h (2B609F9)","q2::cx (62664B)","q2::u1 (37598A6)","q2::cx (3225DD9)",,"q2::swap (3FD6BF2)","q1::cx (354CA5)","q1::u1 (1DFB1D4)","q1::cx (DD4075)",,"q1::swap (3E8CB8A)","q3::cx (3C74423)","q3::u1 (201653E)","q3::cx (20C8F2F)","q3::swap (32F27DC)","q1::u3 (264C44C)","q1::cx (F2FF2F)",,"q1::u1 (8AF8AC)","q1::cx (E2BE13)",,"q1::cx (3F8AEAB)","q1::u1 (3BE2406)","q1::cx (1AF443E)",,"q1::swap (A866C3)","q3::cx (3296633)","q3::u1 (7497CE)","q3::cx (195640)","q3::swap (1EB9CDF)",,,,,"q1::u3 (1F51DB9)","q1::measurement (385B8A2)"
"3",,,,,,"q3::swap (14883D9)",,,,"q4::h (6659C1)",,"q4::cx* (3C74423)",,"q4::cx* (20C8F2F)",,"q4::cx (27108A7)",,"q4::u1 (1F94DDF)","q4::cx (1C3BCD8)",,,,,,"q4::u3 (18AE6B4)",,"q4::cx* (3296633)",,"q4::cx* (195640)",,"q4::cx (E40842)","q4::u1 (44A55)","q4::cx (269D03)",,"q4::u3 (19E0B89)","q4::measurement (3B37DB8)"
"4",,,,,"q4::h (39927CF)","q4::swap (14883D9)","q3::cx* (354CA5)",,"q3::cx* (DD4075)",,"q3::swap (3E8CB8A)",,,,"q1::swap (32F27DC)","q3::cx* (27108A7)",,,"q3::cx* (1C3BCD8)",,"q3::u3 (1E21C5A)","q3::cx* (3F8AEAB)",,"q3::cx* (1AF443E)",,"q3::swap (A866C3)",,,,"q1::swap (1EB9CDF)","q3::cx* (E40842)",,"q3::cx* (269D03)",,"q3::u3 (28E67D8)","q3::measurement (14F6B79)"
"5"
