"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12"
"0","q0::h (21F8103)","q0::swap (1BBC959)","q1::cx* (3F7D238)",,,"q1::swap (39A1422)",,"q3::cx* (3B663FE)","q3::swap (6AB532)",,"q1::h (262C0E4)","q1::measurement (13F082A)"
"1",,"q1::swap (1BBC959)",,"q0::h (31B8922)",,,"q0::swap (3C05EC2)","q1::cx* (16983F6)","q1::swap (6AB532)","q3::cx* (B5A3A7)","q3::h (178C804)","q3::measurement (337497E)"
"2",,,"q2::cx (3F7D238)",,,,,"q2::cx (16983F6)",,,,"q2::measurement (F19571)"
"3",,,,,"q3::swap (1C354D3)",,,"q4::cx (3B663FE)",,"q4::cx (B5A3A7)",,"q4::measurement (7E40FC)"
"4",,,,,"q4::swap (1C354D3)","q3::swap (39A1422)","q1::swap (3C05EC2)"
"5"
