"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15"
"0","q0::h (3B71A63)","q0::cx (EF5984)","q0::u1 (6A25A8)","q0::cx (3BB52ED)","q0::u1 (195EA5D)","q0::swap (FD727F)","q1::cx (6F2786)","q1::u1 (3E863BA)","q1::cx (32B818C)",,"q1::swap (E9067B)",,,,"q0::u1 (878DED)"
"1","q1::u1 (16FED80)","q1::cx* (EF5984)",,"q1::cx* (3BB52ED)",,"q1::swap (FD727F)",,,,"q0::h (C3FD56)","q0::swap (E9067B)","q1::cx (203284C)","q1::u1 (21C6AB4)","q1::cx (2FFC058)","q1::u1 (2FDC318)"
"2",,,,,"q2::u1 (2453D47)",,"q2::cx* (6F2786)",,"q2::cx* (32B818C)","q2::u1 (2E3E808)",,"q2::cx* (203284C)",,"q2::cx* (2FFC058)","q2::h (2EBDBDF)"
"3"
"4"
"5"
