"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24"
"0","q0::h (3C38B5F)","q0::cx (DF190F)","q0::u1 (3D7E188)","q0::cx (296EDCB)","q0::u1 (34E5C2A)","q0::cx (3CB2964)","q0::u1 (224748A)","q0::cx (34818DF)","q0::u1 (188DFDC)","q0::swap (690795)","q2::cx (4ED4DB)","q2::u1 (2C57BB6)","q2::cx (F1596E)",,"q2::swap (3B1443F)",,,,,,,,,"q1::u1 (7C24E3)"
"1","q1::u1 (1DFE657)","q1::cx* (DF190F)",,"q1::cx* (296EDCB)",,,,,"q1::h (5D4BFE)",,"q1::cx (1850B72)","q1::u1 (1AD6705)","q1::cx (3189F33)","q1::u1 (3DD98CB)","q1::swap (3B1443F)","q2::cx (11D5869)","q2::u1 (2081BB9)","q2::cx (248F988)",,"q2::swap (13B663A)",,,,"q0::u1 (90C5D0)"
"2",,,,,"q2::u1 (1C13D7C)","q2::cx* (3CB2964)",,"q2::cx* (34818DF)","q2::u1 (347ABF0)","q2::swap (690795)","q0::cx* (1850B72)",,"q0::cx* (3189F33)",,,,,,"q0::h (116F450)","q0::swap (13B663A)","q2::cx (434D68)","q2::u1 (25DB8A9)","q2::cx (14B7DF8)","q2::u1 (3A76DBD)"
"3",,,,,,,,,"q3::u1 (1CFDEC3)",,"q3::cx* (4ED4DB)",,"q3::cx* (F1596E)","q3::u1 (2CA5F28)",,"q3::cx* (11D5869)",,"q3::cx* (248F988)","q3::u1 (1CE96D2)",,"q3::cx* (434D68)",,"q3::cx* (14B7DF8)","q3::h (E2DBA9)"
"4"
"5"
