"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11"
"0","q0::h (21F8103)","q0::swap (8A9D0)","q1::cx* (3F7D238)",,"q1::swap (4DF856)","q2::cx* (3B663FE)",,"q2::swap (2BDBB06)",,"q1::h (262C0E4)","q1::measurement (13F082A)"
"1",,"q1::swap (8A9D0)",,"q0::h (31B8922)",,"q0::cx* (16983F6)","q0::swap (AB933B)","q1::swap (2BDBB06)","q2::cx* (B5A3A7)","q2::h (178C804)","q2::measurement (337497E)"
"2",,,"q2::cx (3F7D238)",,"q2::swap (4DF856)","q1::cx (16983F6)","q1::swap (AB933B)",,,,"q0::measurement (F19571)"
"3",,,,,,"q3::cx (3B663FE)",,,"q3::cx (B5A3A7)",,"q3::measurement (7E40FC)"
"4"
"5"
