Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
2.0, 2.0 Quantum Teleportation, 0.1587772, 0.0154839, 0.0142016
2.1, 2.1 Superdense coding of 0, 0.0695041, 0.0011753, 0.0067911
2.2, 2.2 Superdense coding of 1, 0.0700538, 0.0010739, 0.0068324
2.3, 2.3 Superdense coding of 2, 0.0744386, 0.0012949, 0.0072562
2.4, 2.4 Superdense coding of 3, 0.0760501, 0.0013752, 0.0074141
2.5, 2.5 Deutsch Algorithm Constant True, 0.0781921, 0.0010058, 0.0076793
2.6, 2.6 Deutsch Algorithm Constant False, 0.0844616, 0.0011465, 0.0082681
2.7, 2.7 Deutsch Algorithm Identity, 0.0738226, 0.0014595, 0.0071949
2.8, 2.8 Deutsch Algorithm Inversion, 0.0711064, 0.001739, 0.0068959
2.9, 2.9 Deutsch-Josza with 3 qubits, 0.079201, 0.0016302, 0.0077173
2.10, 2.10 Bernstein Vazrani for value 3 with 3 qubits, 0.0767354, 0.0017706, 0.0074452
2.11, 2.11 Simons Algorithm for 11, 0.0760611, 0.001176, 0.0074231
2.12, 2.12 3 Qubit Quantum Fourier Transform, 0.0781393, 0.0013206, 0.0076274
2.13, 2.13 4 Qubit Quantum Fourier Transform, 0.0881408, 0.0019614, 0.008571
2.14, 2.14 5 Qubit Quantum Fourier Transform, 0.0921345, 0.0027832, 0.0088672
2.15, 2.15 Gover's search with 9 items, 0.1051555, 0.0024935, 0.0102152
2.16, 2.16 Quantum Approximate Optimization MaxCut, 0.0808288, 0.0016334, 0.0078846
2.17, 2.17 011_3_qubit_grover_50_, 0.1023474, 0.003, 0.0099075
2.18, 2.18 adder, 0.0664096, 0.0022947, 0.00637
2.19, 2.19 bernstein-vazirani, 0.0832715, 0.0013686, 0.0081427
2.20, 2.20 bigadder, 0.0791291, 0.0045039, 0.0074136
2.21, 2.21 Deutsch_Algorithm, 0.0748166, 0.0011353, 0.0073231
2.22, 2.22 inverseqft1, 0.0767365, 0.0014784, 0.0074969
2.23, 2.23 inverseqft2, 0.0750615, 0.0012639, 0.0073329
2.24, 2.24 ipea_3_pi_8, 0.0958261, 0.002955, 0.0092281
2.25, 2.25 iswap, 0.0747726, 0.0013695, 0.0072874
2.26, 2.26 pea_3_pi_8, 0.1016751, 0.0026037, 0.0098563
2.27, 2.27 qec, 0.0792163, 0.0013545, 0.0077355
2.28, 2.28 qe_qft_3, 0.0816219, 0.0020073, 0.0079174
2.29, 2.29 qe_qft_4, 0.0999927, 0.0025172, 0.0096758
2.30, 2.30 qe_qft_5, 0.1036925, 0.0031201, 0.0100198
2.31, 2.31 qft, 0.086218, 0.0016122, 0.0084017
2.32, 2.32 qpt, 0.0763358, 0.0010519, 0.007483
2.33, 2.33 rb, 0.0727294, 0.0013178, 0.0071009
2.34, 2.34 teleport, 0.1279306, 0.0012357, 0.0126247
2.35, 2.35 teleportv2, 0.0787983, 0.0012119, 0.0077049
2.36, 2.36 W-state, 0.0849978, 0.0013766, 0.0083061
2.37, 2.37 W3test, 0.0680079, 0.001335, 0.0066107
2.38, 2.38 Shors Quantum Kernel, 22.9708646, 0.3669174, 2.2603189
