"Operation Index","Operation Name","Latency","Priority"
0,"u3 (194E57)","00:00:00.0010000","15"
1,"u3 (E3C113)","00:00:00.0010000","17"
2,"cx (1C9AB)","00:00:00.0020000","16"
3,"barrier (10170A)","00:00:00.0010000","14"
4,"cx (90CF60)","00:00:00.0020000","13"
5,"u3 (1174A66)","00:00:00.0010000","11"
6,"measurement (1D19D9E)","00:00:00.0030000","10"
7,"measurement (5E8A8F)","00:00:00.0030000","8"
8,"if 1 then u3 (352DF0C)","00:00:00.0020000","7"
9,"if 1 then u3 (1E9D76C)","00:00:00.0020000","5"
10,"measurement (13892D2)","00:00:00.0030000","3"
