Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
1.0, 1.0 Quantum Teleportation, 0.1419319, 0.0152554, 0.0125105
1.1, 1.1 Superdense coding of 0, 0.0750362, 0.0013812, 0.0073028
1.2, 1.2 Superdense coding of 1, 0.0672612, 0.001395, 0.0065456
1.3, 1.3 Superdense coding of 2, 0.0662218, 0.001287, 0.0064415
1.4, 1.4 Superdense coding of 3, 0.0752991, 0.0014662, 0.0073299
1.5, 1.5 Deutsch Algorithm Constant True, 0.0665802, 0.0017027, 0.0064292
1.6, 1.6 Deutsch Algorithm Constant False, 0.0738782, 0.0020107, 0.0071382
1.7, 1.7 Deutsch Algorithm Identity, 0.0679712, 0.0014134, 0.0065956
1.8, 1.8 Deutsch Algorithm Inversion, 0.0669679, 0.0012255, 0.0065115
1.9, 1.9 Deutsch-Josza with 3 qubits, 0.0767036, 0.0017036, 0.0074562
1.10, 1.10 Bernstein Vazrani for value 3 with 3 qubits, 0.0708643, 0.0016048, 0.0068906
1.11, 1.11 Simons Algorithm for 11, 0.0776018, 0.0014338, 0.0075708
1.12, 1.12 3 Qubit Quantum Fourier Transform, 0.0698059, 0.0017297, 0.0067691
1.13, 1.13 4 Qubit Quantum Fourier Transform, 0.0767874, 0.0015652, 0.0074704
1.14, 1.14 5 Qubit Quantum Fourier Transform, 0.0894361, 0.0022781, 0.0086493
1.15, 1.15 Gover's search with 9 items, 0.1020012, 0.0026567, 0.0098706
1.16, 1.16 Quantum Approximate Optimization MaxCut, 0.0777079, 0.0017942, 0.0075409
1.17, 1.17 011_3_qubit_grover_50_, 0.1120085, 0.0031041, 0.0108086
1.18, 1.18 adder, 0.0622274, 0.0029023, 0.0058852
1.19, 1.19 bernstein-vazirani, 0.0762258, 0.0016464, 0.0074014
1.20, 1.20 bigadder, 0.0741226, 0.0040979, 0.0069549
1.21, 1.21 Deutsch_Algorithm, 0.0677089, 0.0010803, 0.0066242
1.22, 1.22 inverseqft1, 0.0728658, 0.0017056, 0.0070666
1.23, 1.23 inverseqft2, 0.0717969, 0.001589, 0.0069642
1.24, 1.24 ipea_3_pi_8, 0.094156, 0.0030626, 0.009073
1.25, 1.25 iswap, 0.0739785, 0.0018445, 0.0071545
1.26, 1.26 pea_3_pi_8, 0.1000484, 0.0025698, 0.0097016
1.27, 1.27 qec, 0.0712325, 0.0017803, 0.0068964
1.28, 1.28 qe_qft_3, 0.0668867, 0.0016179, 0.0064873
1.29, 1.29 qe_qft_4, 0.0896118, 0.0024189, 0.0086743
1.30, 1.30 qe_qft_5, 0.0948861, 0.0022493, 0.0092103
1.31, 1.31 qft, 0.0812068, 0.00174, 0.0078923
1.32, 1.32 qpt, 0.0674787, 0.0011373, 0.0066015
1.33, 1.33 rb, 0.0702975, 0.0011497, 0.0068725
1.34, 1.34 teleport, 0.0672356, 0.0013798, 0.0065488
1.35, 1.35 teleportv2, 0.0691282, 0.0013331, 0.00673
1.36, 1.36 W-state, 0.0750293, 0.0015954, 0.0072824
1.37, 1.37 W3test, 0.0686733, 0.0013761, 0.0066894
1.38, 1.38 Shors Quantum Kernel, 23.1152383, 0.3354058, 2.2778837
