"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34","Priority 35","Priority 36"
"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"q0::h (3F8AEAB)","q0::u3 (3B37DB8)","q0::u3 (1F509D5)","q0::measurement (198F1B0)"
"1","q1::h (3BE2406)","q1::cx* (195640)",,"q1::cx* (44A55)",,"q1::swap (39DA2C)",,,,,,,,,,"q2::u3 (14F6B79)","q2::cx* (717DC5)",,,"q2::cx* (3E8CB8A)",,,,,,,,,,,,,,,"q2::u3 (19D587D)","q2::measurement (2607F31)"
"2","q2::h (1AF443E)","q2::cx (195640)","q2::u1 (E40842)","q2::cx (44A55)",,"q2::swap (39DA2C)","q1::cx (269D03)","q1::u1 (15B851B)","q1::cx (37ADF8)",,"q1::swap (208AB8D)","q3::cx (1F51DB9)","q3::u1 (19E0B89)","q3::cx (28E67D8)","q3::swap (24E07F8)","q1::u3 (3CAC748)","q1::cx (717DC5)",,"q1::u1 (3FD6BF2)","q1::cx (3E8CB8A)",,"q1::cx (32F27DC)","q1::u1 (A866C3)","q1::cx (1EB9CDF)",,"q1::swap (BE47BF)","q3::cx (14883D9)","q3::u1 (38CA2A2)","q3::cx (3F1B7B3)","q3::swap (2B085B9)",,,,,"q1::u3 (2881C6C)","q1::measurement (16478BE)"
"3",,,,,,"q3::swap (34B389)",,,,"q4::h (3296633)",,"q4::cx* (1F51DB9)",,"q4::cx* (28E67D8)",,"q4::cx (301A6A0)",,"q4::u1 (30EDBA0)","q4::cx (385B8A2)",,,,,,"q4::u3 (221018D)",,"q4::cx* (14883D9)",,"q4::cx* (3F1B7B3)",,"q4::cx (37F754D)","q4::u1 (37B1FB9)","q4::cx (3541D89)",,"q4::u3 (2C8FFD2)","q4::measurement (883EAE)"
"4",,,,,"q4::h (7497CE)","q4::swap (34B389)","q3::cx* (269D03)",,"q3::cx* (37ADF8)",,"q3::swap (208AB8D)",,,,"q1::swap (24E07F8)","q3::cx* (301A6A0)",,,"q3::cx* (385B8A2)",,"q3::u3 (3290DF9)","q3::cx* (32F27DC)",,"q3::cx* (1EB9CDF)",,"q3::swap (BE47BF)",,,,"q1::swap (2B085B9)","q3::cx* (37F754D)",,"q3::cx* (3541D89)",,"q3::u3 (110FE68)","q3::measurement (CA3424)"
"5"
