"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11"
"0","q0::h (28F30D)","q0::swap (4DF856)","q1::cx* (F4E74F)",,"q1::swap (2BDBB06)","q2::cx* (9C21CE)",,"q2::swap (AB933B)",,"q1::h (9C43C1)","q1::measurement (1717041)"
"1",,"q1::swap (4DF856)",,"q0::h (1708B7A)",,"q0::cx* (17D303E)","q0::swap (2082D14)","q1::swap (AB933B)","q2::cx* (166B231)","q2::h (17E61CE)","q2::measurement (FCF24B)"
"2",,,"q2::cx (F4E74F)",,"q2::swap (2BDBB06)","q1::cx (17D303E)","q1::swap (2082D14)",,,,"q0::measurement (E484A5)"
"3",,,,,,"q3::cx (9C21CE)",,,"q3::cx (166B231)",,"q3::measurement (8A9D0)"
"4"
"5"
