"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4"
"0","q0::barrier (134FCE2)","q0::u3 (2DCE3F7)","q0::barrier (1C403B0)","q0::measurement (3E42138)"
"1"
"2"
"3"
"4"
"5"
"6"
"7"
"8"
"9"
"10"
"11"
"12"
"13"
"14"
"15"
"16"
"17"
"18"
"19"
"20"
"21"
"22"
"23"
"24"
"25"
"26"
"27"
"28"
"29"
"30"
"31"
"32"
