"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30"
"0","q0::u3 (20D60B5)","q0::barrier (23B9961)","q0::u3 (186469)","q0::swap (3D4459E)","q1::cx (3B7C53A)","q1::u3 (175EF0D)","q1::cx (125677C)","q1::u3 (250A35E)","q1::cx (3A13971)","q1::u3 (AB04FE)","q1::cx (2032CF5)","q1::u3 (21C949D)",,"q1::swap (2767294)",,"q3::cx (1823D75)","q3::u3 (194291D)","q3::cx (235720A)",,"q3::swap (22A073A)",,,,,,,,,"q4::u3 (3E1025B)","q4::measurement (25DCE54)"
"1",,"q2::barrier (23B9961)","q2::u3 (DB87B1)",,"q2::cx* (3B7C53A)",,"q2::cx* (125677C)",,,,,"q2::u3 (D5BE56)",,,,"q2::cx (30B05D0)","q2::u3 (3633455)","q2::cx (27CD700)","q2::u3 (2638F02)","q2::swap (37A4112)","q1::cx (231BF1A)","q1::u3 (3BFB7F2)","q1::cx (1BD7782)",,"q1::swap (34C49A3)",,,,"q2::u3 (3A93394)","q2::measurement (25DCE54)"
"2","q1::u3 (2786660)","q1::barrier (23B9961)",,"q1::swap (3D4459E)",,,,"q0::u3 (383B10C)","q0::cx* (3A13971)",,"q0::cx* (2032CF5)","q0::u3 (3013988)",,,"q0::swap (1AE96C0)","q1::cx* (30B05D0)",,"q1::cx* (27CD700)",,"q1::swap (37A4112)",,,,"q2::u3 (1800714)","q2::swap (34C49A3)","q1::cx (89520B)","q1::u3 (D3E26A)","q1::cx (372F5BF)","q1::u3 (30AA3BB)","q1::measurement (25DCE54)"
"3",,"q3::barrier (23B9961)",,,,,,,,,,"q3::u3 (1803FB7)","q3::swap (3234CC0)",,,"q4::cx* (1823D75)",,"q4::cx* (235720A)","q4::u3 (2E9153B)","q4::swap (22A073A)","q3::cx* (231BF1A)",,"q3::cx* (1BD7782)","q3::u3 (F2D03A)",,"q3::cx* (89520B)",,"q3::cx* (372F5BF)","q3::u3 (35FC197)","q3::measurement (25DCE54)"
"4",,,,,,,,,,,,,"q4::swap (3234CC0)","q3::swap (2767294)","q1::swap (1AE96C0)"
"5"
