"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34","Priority 35","Priority 36","Priority 37","Priority 38"
"0","q0::h (303CFB2)","q0::cx (34B759)","q0::u1 (1DA7227)","q0::cx (AE0365)","q0::u1 (21E1E95)","q0::swap (104DF77)","q1::cx (387AD33)","q1::u1 (3C516CB)","q1::cx (1EDCD29)","q1::u1 (15C3675)",,"q1::swap (12BDB30)",,"q3::cx (22D3B23)","q3::u1 (397143F)","q3::cx (4FB63E)","q3::u1 (2CD682F)","q3::swap (28AB4B7)","q1::cx (2FDF718)","q1::u1 (2EDAFD9)","q1::cx (25B2EA1)",,"q1::swap (2E05A74)",,,,,,,,,,,,,,,"q2::u1 (134A3A9)"
"1","q1::u1 (3224D42)","q1::cx* (34B759)",,"q1::cx* (AE0365)",,"q1::swap (104DF77)",,,,"q0::h (2D9C0F2)",,,"q0::swap (1E32E18)","q1::cx (2E60CB4)","q1::u1 (2167256)","q1::cx (2CA050E)","q1::u1 (11A2D84)","q1::swap (28AB4B7)","q3::cx (14866F6)","q3::u1 (38B9EAD)","q3::cx (3E89415)","q3::u1 (32D34C0)",,"q3::swap (FC9EDC)","q1::cx (14DB10D)","q1::u1 (3BB3978)","q1::cx (195053A)",,"q1::swap (E195C1)",,,,,,,,,"q0::u1 (23D2F0C)"
"2",,,,,"q2::u1 (30F133E)",,"q2::cx* (387AD33)",,"q2::cx* (1EDCD29)","q2::u1 (1A7C885)",,,,"q2::cx* (2E60CB4)",,"q2::cx* (2CA050E)",,,,,,"q2::h (26A76F)","q2::swap (2E05A74)","q1::swap (FC9EDC)","q3::cx (3AFA55)","q3::u1 (212CD02)","q3::cx (2A93513)","q3::u1 (3F2DDB3)",,"q3::cx (3D825EA)","q3::u1 (299553A)","q3::cx (363FF0C)",,"q3::swap (3EE43D1)",,,,"q1::u1 (283F772)"
"3",,,,,,,,,,"q3::u1 (3DEA20)","q3::swap (360625B)",,,"q4::cx* (22D3B23)",,"q4::cx* (4FB63E)","q4::u1 (1EB99A9)",,"q4::cx* (14866F6)",,"q4::cx* (3E89415)","q4::u1 (15BE2ED)",,,"q4::cx* (3AFA55)",,"q4::cx* (2A93513)",,,,,,"q4::h (2A3B303)",,"q4::cx (1CBA437)","q4::u1 (28C5F3)","q4::cx (16EF58F)","q4::u1 (E6A20C)"
"4",,,,,,,,,,,"q4::swap (360625B)","q3::swap (12BDB30)","q1::swap (1E32E18)",,,,"q0::u1 (138A9AD)",,"q0::cx* (2FDF718)",,"q0::cx* (25B2EA1)","q0::u1 (96DAC8)",,,"q0::cx* (14DB10D)",,"q0::cx* (195053A)","q0::u1 (389CB52)","q0::swap (E195C1)","q1::cx* (3D825EA)",,"q1::cx* (363FF0C)","q1::u1 (3C14B22)","q1::swap (3EE43D1)","q3::cx* (1CBA437)",,"q3::cx* (16EF58F)","q3::h (1BB274)"
"5"
