"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34","Priority 35","Priority 36","Priority 37","Priority 38","Priority 39","Priority 40","Priority 41","Priority 42","Priority 43","Priority 44","Priority 45","Priority 46","Priority 47","Priority 48","Priority 49","Priority 50","Priority 51","Priority 52","Priority 53","Priority 54","Priority 55","Priority 56","Priority 57","Priority 58","Priority 59","Priority 60","Priority 61","Priority 62","Priority 63","Priority 64","Priority 65","Priority 66","Priority 67","Priority 68","Priority 69","Priority 70","Priority 71","Priority 72","Priority 73","Priority 74","Priority 75","Priority 76","Priority 77","Priority 78","Priority 79","Priority 80","Priority 81","Priority 82","Priority 83","Priority 84","Priority 85","Priority 86","Priority 87","Priority 88","Priority 89","Priority 90","Priority 91","Priority 92","Priority 93","Priority 94","Priority 95","Priority 96","Priority 97","Priority 98","Priority 99","Priority 100","Priority 101","Priority 102","Priority 103","Priority 104","Priority 105","Priority 106","Priority 107","Priority 108","Priority 109"
"0",,,,"q0::u3 (1FDF3F4)","q0::u3 (2BB23B)","q0::swap (5D6B75)","q1::cx* (2FA83A4)",,"q1::swap (348C725)",,,"q0::swap (18F0051)","q1::cx* (267E1D0)",,"q1::swap (20702D9)",,,,,,"q0::swap (23F19A8)","q1::cx* (28C5305)","q1::u3 (2EEEB2E)","q1::cx* (25BB5FF)",,,,,"q1::swap (37E6EE)","q0::u3 (13965FA)","q0::u3 (73673B)","q0::u3 (A0F91B)","q0::swap (1F71E64)","q1::cx* (213697A)",,"q1::swap (1B0118C)",,,"q0::swap (3309DED)","q1::cx* (38248FC)",,"q1::swap (B58D5A)",,,,,,"q0::swap (261F82A)","q1::cx* (338574F)","q1::u3 (FB11C8)","q1::cx* (2F5A4F0)",,,,,"q1::swap (171B980)","q0::u3 (2A2CC74)","q0::u3 (1983833)","q0::u3 (2780B98)","q0::swap (FF8584)","q1::cx* (3AA54A0)",,"q1::swap (FBB1A7)",,,"q0::swap (D93EE2)","q1::cx* (62E449)",,"q1::swap (3A335F6)",,,,,,"q0::swap (BCE5AD)","q1::cx* (1114F81)","q1::u3 (19BCB90)","q1::cx* (A6AD9A)",,,,,"q1::swap (2A41316)","q0::u3 (1DC1A6B)","q0::u3 (3C73AB4)","q0::u3 (2562BC8)","q0::swap (3C4ABCC)","q1::cx* (23976EF)",,"q1::swap (1EA0A2F)",,,"q0::swap (13A5BA8)","q1::cx* (2C1248F)",,"q1::swap (30D38E8)",,,,,,"q0::swap (3770028)","q1::cx* (C4EDF4)","q1::u3 (2EC5D9C)","q1::cx* (3169154)",,"q1::u3 (3CB1BF5)","q1::u3 (1629F15)","q1::measurement (1D70446)"
"1","q1::u3 (1ED9395)","q1::u3 (189441B)","q1::cx* (6E8CAF)",,,"q1::swap (5D6B75)",,,"q0::swap (348C725)","q1::cx* (143A722)",,"q1::swap (18F0051)",,"q0::u3 (1A6F050)","q0::swap (20702D9)","q1::cx* (1D2098A)","q1::u3 (6255DD)","q1::cx* (31D2B0C)","q1::u3 (68373)","q1::cx* (20F9772)","q1::swap (23F19A8)",,,,"q0::u3 (266449E)","q0::u3 (30495D1)","q0::u3 (EA119)","q0::u3 (1A8C1FA)","q0::swap (37E6EE)","q1::cx* (265601D)",,,"q1::swap (1F71E64)",,,"q0::swap (1B0118C)","q1::cx* (245FB7)",,"q1::swap (3309DED)",,"q0::u3 (39490E2)","q0::swap (B58D5A)","q1::cx* (201D787)","q1::u3 (21093C0)","q1::cx* (33EC00F)","q1::u3 (134C08F)","q1::cx* (1B0ED41)","q1::swap (261F82A)",,,,"q0::u3 (D3A00F)","q0::u3 (3B93019)","q0::u3 (259F9D2)","q0::u3 (2386859)","q0::swap (171B980)","q1::cx* (3D90434)",,,"q1::swap (FF8584)",,,"q0::swap (FBB1A7)","q1::cx* (E4C6C4)",,"q1::swap (D93EE2)",,"q0::u3 (37A0697)","q0::swap (3A335F6)","q1::cx* (19C1610)","q1::u3 (27CC695)","q1::cx* (17AD52B)","q1::u3 (1517E87)","q1::cx* (2C908D5)","q1::swap (BCE5AD)",,,,"q0::u3 (27A2811)","q0::u3 (BCEDC3)","q0::u3 (2011057)","q0::u3 (1078A10)","q0::swap (2A41316)","q1::cx* (362AF4B)",,,"q1::swap (3C4ABCC)",,,"q0::swap (1EA0A2F)","q1::cx* (2EA1A2)",,"q1::swap (13A5BA8)",,"q0::u3 (CA490A)","q0::swap (30D38E8)","q1::cx* (11C3E)","q1::u3 (9FE31)","q1::cx* (3296DB7)","q1::u3 (74DB74)","q1::cx* (F96FC5)","q1::swap (3770028)",,,,"q0::u3 (24F4A7C)","q0::u3 (223FBA4)","q0::u3 (7797C1)","q0::measurement (8F2678)"
"2","q2::u3 (15A303F)","q2::u3 (1D364F7)","q2::cx (6E8CAF)",,"q2::u3 (3E2F22E)",,"q2::cx (2FA83A4)","q2::u3 (2CEA0CA)",,"q2::cx (143A722)","q2::u3 (360E033)",,"q2::cx (267E1D0)","q2::u3 (2DE72D6)",,"q2::cx (1D2098A)","q2::u3 (37504C8)","q2::cx (31D2B0C)","q2::u3 (3A9F0C)","q2::cx (20F9772)",,"q2::cx (28C5305)","q2::u3 (198698E)","q2::cx (25BB5FF)",,"q2::u3 (329445B)","q2::u3 (83A9E6)","q2::u3 (2EED1CA)",,"q2::cx (265601D)",,"q2::u3 (190610D)",,"q2::cx (213697A)","q2::u3 (2AEB54D)",,"q2::cx (245FB7)","q2::u3 (1475D71)",,"q2::cx (38248FC)","q2::u3 (3917F2)",,"q2::cx (201D787)","q2::u3 (29531C8)","q2::cx (33EC00F)","q2::u3 (2DAC507)","q2::cx (1B0ED41)",,"q2::cx (338574F)","q2::u3 (370A08C)","q2::cx (2F5A4F0)",,"q2::u3 (182B0E9)","q2::u3 (129C866)","q2::u3 (3FBAB22)",,"q2::cx (3D90434)",,"q2::u3 (2A125D8)",,"q2::cx (3AA54A0)","q2::u3 (FCF9A4)",,"q2::cx (E4C6C4)","q2::u3 (AFCEB)",,"q2::cx (62E449)","q2::u3 (34A3B57)",,"q2::cx (19C1610)","q2::u3 (262FB3D)","q2::cx (17AD52B)","q2::u3 (3DD72C2)","q2::cx (2C908D5)",,"q2::cx (1114F81)","q2::u3 (24B689F)","q2::cx (A6AD9A)",,"q2::u3 (2A45BDB)","q2::u3 (2099316)","q2::u3 (143DA96)",,"q2::cx (362AF4B)",,"q2::u3 (27829A8)",,"q2::cx (23976EF)","q2::u3 (52E67)",,"q2::cx (2EA1A2)","q2::u3 (1A3AEBA)",,"q2::cx (2C1248F)","q2::u3 (31C915C)",,"q2::cx (11C3E)","q2::u3 (59EFBF)","q2::cx (3296DB7)","q2::u3 (1BB715)","q2::cx (F96FC5)",,"q2::cx (C4EDF4)","q2::u3 (C99E5E)","q2::cx (3169154)",,"q2::u3 (343D8C9)","q2::u3 (3455CE)","q2::measurement (1085A3F)"
"3"
"4"
"5"
