"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9"
"0","q0::u3 (2392498)","q0::cx* (14945C)",,,,,,,"q0::measurement (2DCA368)"
"1",,,,"q1::u3 (2495F)","q1::cx* (29A7B69)",,"q1::u3 (2E10C83)","q1::cx* (134F5B6)","q1::measurement (1C1BEA9)"
"2",,"q2::cx (14945C)","q2::u3 (B93740)","q2::u3 (282F144)","q2::cx (29A7B69)","q2::u3 (36E56B9)","q2::u3 (1E970A2)","q2::cx (134F5B6)","q2::measurement (3CFB3F2)"
"3"
"4"
"5"
