Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
1.0, 1.0 Quantum Teleportation, 00:00:00.1172716, 00:00:00.0248546, 00:00:00.0092387
1.1, 1.1 Superdense coding of 0, 00:00:00.0473586, 00:00:00.0042305, 00:00:00.0043123
1.2, 1.2 Superdense coding of 1, 00:00:00.0653999, 00:00:00.0030301, 00:00:00.0062368
1.3, 1.3 Superdense coding of 2, 00:00:00.0485183, 00:00:00.0040612, 00:00:00.0044455
1.4, 1.4 Superdense coding of 3, 00:00:00.0468639, 00:00:00.0032741, 00:00:00.0043589
1.5, 1.5 Deutsch Algorithm Constant True, 00:00:00.0495190, 00:00:00.0025356, 00:00:00.0046982
1.6, 1.6 Deutsch Algorithm Constant False, 00:00:00.0555999, 00:00:00.0022595, 00:00:00.0053339
1.7, 1.7 Deutsch Algorithm Identity, 00:00:00.0466244, 00:00:00.0036454, 00:00:00.0042977
1.8, 1.8 Deutsch Algorithm Inversion, 00:00:00.0435703, 00:00:00.0026273, 00:00:00.0040942
1.9, 1.9 Deutsch-Josza with 3 qubits, 00:00:00.0454761, 00:00:00.0037756, 00:00:00.0041699
1.10, 1.10 Bernstein Vazrani for value 3 with 3 qubits, 00:00:00.0043782, 00:00:00.0037399, 00:00:00.0000637
1.11, 1.11 Simons Algorithm for 11, 00:00:00.0046805, 00:00:00.0041505, 00:00:00.0000528
1.12, 1.12 3 Qubit Quantum Fourier Transform, 00:00:00.0037401, 00:00:00.0031757, 00:00:00.0000562
1.13, 1.13 4 Qubit Quantum Fourier Transform, 00:00:00.0049989, 00:00:00.0044741, 00:00:00.0000524
1.14, 1.14 5 Qubit Quantum Fourier Transform, 00:00:00.0062701, 00:00:00.0057351, 00:00:00.0000533
1.15, 1.15 Shors Quantum Kernel, 00:00:01.0973834, 00:00:01.0957871, 00:00:00.0001585
1.16, 1.16 Gover's search with 9 items, 00:00:00.0127141, 00:00:00.0111840, 00:00:00.0001515
1.17, 1.17 Quantum Approximate Optimization MaxCut, 00:00:00.0098259, 00:00:00.0074272, 00:00:00.0002379
1.18, 1.18 011_3_qubit_grover_50_, 00:00:00.0119063, 00:00:00.0102568, 00:00:00.0001630
1.19, 1.19 adder, 00:00:00.0125456, 00:00:00.0112900, 00:00:00.0001252
1.20, 1.20 bernstein-vazirani, 00:00:00.0065971, 00:00:00.0053537, 00:00:00.0001239
1.21, 1.21 bigadder, 00:00:00.0208201, 00:00:00.0195521, 00:00:00.0001265
1.22, 1.22 Deutsch_Algorithm, 00:00:00.0035118, 00:00:00.0029186, 00:00:00.0000592
1.23, 1.23 inverseqft1, 00:00:00.0058934, 00:00:00.0052369, 00:00:00.0000654
1.24, 1.24 inverseqft2, 00:00:00.0041676, 00:00:00.0035925, 00:00:00.0000573
1.25, 1.25 ipea_3_pi_8, 00:00:00.0066645, 00:00:00.0060816, 00:00:00.0000581
1.26, 1.26 iswap, 00:00:00.0044199, 00:00:00.0034896, 00:00:00.0000928
1.27, 1.27 pea_3_pi_8, 00:00:00.0077508, 00:00:00.0071899, 00:00:00.0000559
1.28, 1.28 qec, 00:00:00.0034369, 00:00:00.0029137, 00:00:00.0000522
1.29, 1.29 qe_qft_3, 00:00:00.0027224, 00:00:00.0021871, 00:00:00.0000533
1.30, 1.30 qe_qft_4, 00:00:00.0073938, 00:00:00.0066460, 00:00:00.0000746
1.31, 1.31 qe_qft_5, 00:00:00.0083432, 00:00:00.0077704, 00:00:00.0000571
1.32, 1.32 qft, 00:00:00.0056947, 00:00:00.0051692, 00:00:00.0000524
1.33, 1.33 qpt, 00:00:00.0032065, 00:00:00.0027079, 00:00:00.0000498
1.34, 1.34 rb, 00:00:00.0054152, 00:00:00.0049374, 00:00:00.0000477
1.35, 1.35 teleport, 00:00:00.0037427, 00:00:00.0031097, 00:00:00.0000631
1.36, 1.36 teleportv2, 00:00:00.0047599, 00:00:00.0042371, 00:00:00.0000521
1.37, 1.37 W-state, 00:00:00.0052506, 00:00:00.0047596, 00:00:00.0000490
1.38, 1.38 W3test, 00:00:00.0038263, 00:00:00.0032813, 00:00:00.0000543
