"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34","Priority 35","Priority 36","Priority 37","Priority 38","Priority 39","Priority 40","Priority 41","Priority 42","Priority 43","Priority 44","Priority 45","Priority 46","Priority 47","Priority 48","Priority 49","Priority 50","Priority 51","Priority 52","Priority 53","Priority 54","Priority 55","Priority 56","Priority 57","Priority 58","Priority 59","Priority 60","Priority 61","Priority 62","Priority 63","Priority 64","Priority 65","Priority 66","Priority 67","Priority 68","Priority 69","Priority 70","Priority 71","Priority 72","Priority 73","Priority 74","Priority 75","Priority 76","Priority 77","Priority 78","Priority 79","Priority 80","Priority 81","Priority 82","Priority 83","Priority 84","Priority 85","Priority 86","Priority 87","Priority 88","Priority 89","Priority 90","Priority 91","Priority 92","Priority 93","Priority 94","Priority 95","Priority 96","Priority 97","Priority 98","Priority 99","Priority 100","Priority 101","Priority 102","Priority 103","Priority 104","Priority 105","Priority 106","Priority 107","Priority 108","Priority 109"
"0",,,,"q0::u3 (2E9E79F)","q0::u3 (14945C)","q0::swap (3469197)","q1::cx* (2E10C83)",,"q1::swap (17B1E56)",,,"q0::swap (154110A)","q1::cx* (1C1BEA9)",,"q1::swap (3F4995C)",,,,,,"q0::swap (399643D)","q1::cx* (26E8EA7)","q1::u3 (1E303E0)","q1::cx* (3760A7B)",,,,,"q1::swap (648626)","q0::u3 (3265E57)","q0::u3 (42A6D1)","q0::u3 (1CD0B6F)","q0::swap (388B758)","q1::cx* (A29604)",,"q1::swap (3CE721C)",,,"q0::swap (2420304)","q1::cx* (2E6C760)",,"q1::swap (521B28)",,,,,,"q0::swap (2E2F468)","q1::cx* (45BBAC)","q1::u3 (273990E)","q1::cx* (32EDA07)",,,,,"q1::swap (1FA97AF)","q0::u3 (A5AA44)","q0::u3 (3C1DC44)","q0::u3 (30C402E)","q0::swap (1CF552D)","q1::cx* (C05165)",,"q1::swap (49FE9B)",,,"q0::swap (299F37B)","q1::cx* (E61AC8)",,"q1::swap (3698F54)",,,,,,"q0::swap (2B609F9)","q1::cx* (14BD429)","q1::u3 (3AA7578)","q1::cx* (6884DC)",,,,,"q1::swap (6659C1)","q0::u3 (3ACABBD)","q0::u3 (2B50ED0)","q0::u3 (1972FB2)","q0::swap (39927CF)","q1::cx* (1A8E37F)",,"q1::swap (62664B)",,,"q0::swap (37598A6)","q1::cx* (16E7CB9)",,"q1::swap (3225DD9)",,,,,,"q0::swap (354CA5)","q1::cx* (3058D77)","q1::u3 (331F937)","q1::cx* (14EAF51)",,"q1::u3 (3C429DB)","q1::u3 (19B31CC)","q1::measurement (2F0CF92)"
"1","q1::u3 (2392498)","q1::u3 (B93740)","q1::cx* (29A7B69)",,,"q1::swap (3469197)",,,"q0::swap (17B1E56)","q1::cx* (134F5B6)",,"q1::swap (154110A)",,"q0::u3 (3CFB3F2)","q0::swap (3F4995C)","q1::cx* (B7EFA8)","q1::u3 (2776CF0)","q1::cx* (3C97814)","q1::u3 (21538BB)","q1::cx* (B6F367)","q1::swap (399643D)",,,,"q0::u3 (FB22E5)","q0::u3 (595112)","q0::u3 (257DD60)","q0::u3 (3566EA)","q0::swap (648626)","q1::cx* (E59013)",,,"q1::swap (388B758)",,,"q0::swap (3CE721C)","q1::cx* (3717766)",,"q1::swap (2420304)",,"q0::u3 (21D0266)","q0::swap (521B28)","q1::cx* (32DC278)","q1::u3 (9BD63F)","q1::cx* (14EC9F2)","q1::u3 (3C5198A)","q1::cx* (15D14DA)","q1::swap (2E2F468)",,,,"q0::u3 (2106181)","q0::u3 (1D2FC65)","q0::u3 (1D0BE6C)","q0::u3 (36E41A4)","q0::swap (1FA97AF)","q1::cx* (1E2C4F4)",,,"q1::swap (1CF552D)",,,"q0::swap (49FE9B)","q1::cx* (D9C11E)",,"q1::swap (299F37B)",,"q0::u3 (16F10F)","q0::swap (3698F54)","q1::cx* (34245E5)","q1::u3 (154750E)","q1::cx* (3B90979)","q1::u3 (1815545)","q1::cx* (1EBFB21)","q1::swap (2B609F9)",,,,"q0::u3 (FE213E)","q0::u3 (11209AA)","q0::u3 (5D8554)","q0::u3 (250AD46)","q0::swap (6659C1)","q1::cx* (386D366)",,,"q1::swap (39927CF)",,,"q0::swap (62664B)","q1::cx* (26FFB38)",,"q1::swap (37598A6)",,"q0::u3 (E26284)","q0::swap (3225DD9)","q1::cx* (3A12C05)","q1::u3 (AA8C35)","q1::cx* (1F65D00)","q1::u3 (1A94505)","q1::cx* (28ED6D4)","q1::swap (354CA5)",,,,"q0::u3 (C1C2F4)","q0::u3 (1E578B6)","q0::u3 (274C031)","q0::measurement (2774C29)"
"2","q2::u3 (2495F)","q2::u3 (282F144)","q2::cx (29A7B69)",,"q2::u3 (36E56B9)",,"q2::cx (2E10C83)","q2::u3 (1E970A2)",,"q2::cx (134F5B6)","q2::u3 (2DCA368)",,"q2::cx (1C1BEA9)","q2::u3 (24D5384)",,"q2::cx (B7EFA8)","q2::u3 (232D474)","q2::cx (3C97814)","q2::u3 (2BEFE99)","q2::cx (B6F367)",,"q2::cx (26E8EA7)","q2::u3 (D43A0D)","q2::cx (3760A7B)",,"q2::u3 (323D9A5)","q2::u3 (116C861)","q2::u3 (1E09E3B)",,"q2::cx (E59013)",,"q2::u3 (1210AB)",,"q2::cx (A29604)","q2::u3 (1B74627)",,"q2::cx (3717766)","q2::u3 (2FD3298)",,"q2::cx (2E6C760)","q2::u3 (305159B)",,"q2::cx (32DC278)","q2::u3 (17A8837)","q2::cx (14EC9F2)","q2::u3 (1EDE5DF)","q2::cx (15D14DA)",,"q2::cx (45BBAC)","q2::u3 (2936D8F)","q2::cx (32EDA07)",,"q2::u3 (6ADF95)","q2::u3 (56B1CC)","q2::u3 (2E04EC5)",,"q2::cx (1E2C4F4)",,"q2::u3 (F8EC99)",,"q2::cx (C05165)","q2::u3 (2C2DC91)",,"q2::cx (D9C11E)","q2::u3 (3A7CA16)",,"q2::cx (E61AC8)","q2::u3 (CE798B)",,"q2::cx (34245E5)","q2::u3 (3F81D7F)","q2::cx (3B90979)","q2::u3 (18BFF75)","q2::cx (1EBFB21)",,"q2::cx (14BD429)","q2::u3 (EF2B34)","q2::cx (6884DC)",,"q2::u3 (1A256FA)","q2::u3 (349AFF7)","q2::u3 (D6177D)",,"q2::cx (386D366)",,"q2::u3 (3BD6E9C)",,"q2::cx (1A8E37F)","q2::u3 (2EFFF78)",,"q2::cx (26FFB38)","q2::u3 (1EFD4F8)",,"q2::cx (16E7CB9)","q2::u3 (3F576AB)",,"q2::cx (3A12C05)","q2::u3 (1FEEDE3)","q2::cx (1F65D00)","q2::u3 (2F36D34)","q2::cx (28ED6D4)",,"q2::cx (3058D77)","q2::u3 (2CFDA97)","q2::cx (14EAF51)",,"q2::u3 (1113E6C)","q2::u3 (21AC1BA)","q2::measurement (231AD79)"
"3"
"4"
"5"
