"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31"
"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"q0::h (16CD633)","q0::u3 (371C3B6)","q0::u3 (374B59B)","q0::measurement (335EF9A)"
"1","q1::h (D387D1)","q1::cx* (14BDFE7)",,"q1::cx* (101D857)",,,,,,,,,"q1::u3 (2FFE16C)","q1::cx* (3F060FD)",,,"q1::cx* (30EB030)",,,,,,,,,,,,,"q1::u3 (31A627A)","q1::measurement (E56C6B)"
"2","q2::h (36FC65D)","q2::cx (14BDFE7)","q2::u1 (3AADF26)","q2::cx (101D857)",,"q2::cx (1109B15)","q2::u1 (19573C0)","q2::cx (24111C1)",,"q2::cx (499FC9)","q2::u1 (2969E11)","q2::cx (34B8E9A)","q2::u3 (2FEECD1)","q2::cx (3F060FD)",,"q2::u1 (37368E8)","q2::cx (30EB030)",,"q2::cx (38431B5)","q2::u1 (3A5BF60)","q2::cx (D3BA62)",,"q2::cx (3718D74)","q2::u1 (2FDF917)","q2::cx (2EDC1D5)",,,,,"q2::u3 (3ED7652)","q2::measurement (10CFCA)"
"3",,,,,,,,,"q3::h (2EDF948)","q3::cx* (499FC9)",,"q3::cx* (34B8E9A)","q3::cx (1A8036D)",,"q3::u1 (2E81EDC)","q3::cx (22915BE)",,,,,,"q3::u3 (2F6535E)","q3::cx* (3718D74)",,"q3::cx* (2EDC1D5)","q3::cx (25BD07D)","q3::u1 (13A546A)","q3::cx (30CF7BB)",,"q3::u3 (35928E2)","q3::measurement (974E1F)"
"4",,,,,"q4::h (25DC38B)","q4::cx* (1109B15)",,"q4::cx* (24111C1)",,,,,"q4::cx* (1A8036D)",,,"q4::cx* (22915BE)",,"q4::u3 (2A8EE55)","q4::cx* (38431B5)",,"q4::cx* (D3BA62)",,,,,"q4::cx* (25BD07D)",,"q4::cx* (30CF7BB)",,"q4::u3 (2226FF4)","q4::measurement (151BF1B)"
"5"
