Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
2.0, 2.0 Quantum Teleportation, 0.1337244, 0.0136931, 0.0118929
2.1, 2.1 Superdense coding of 0, 0.0638254, 0.0009878, 0.0062109
2.2, 2.2 Superdense coding of 1, 0.0700337, 0.0009602, 0.0068526
2.3, 2.3 Superdense coding of 2, 0.0642361, 0.0012303, 0.006236
2.4, 2.4 Superdense coding of 3, 0.1093237, 0.0010249, 0.0107525
2.5, 2.5 Deutsch Algorithm Constant True, 0.0798565, 0.0014048, 0.0077632
2.6, 2.6 Deutsch Algorithm Constant False, 0.0802442, 0.0014458, 0.007777
2.7, 2.7 Deutsch Algorithm Identity, 0.0610669, 0.0010062, 0.0059419
2.8, 2.8 Deutsch Algorithm Inversion, 0.0579738, 0.0008429, 0.0056479
2.9, 2.9 Deutsch-Josza with 3 qubits, 0.0725615, 0.0015434, 0.0070544
2.10, 2.10 Bernstein Vazrani for value 3 with 3 qubits, 0.0625474, 0.0014408, 0.0060628
2.11, 2.11 Simons Algorithm for 11, 0.0666804, 0.0010493, 0.0064956
2.12, 2.12 3 Qubit Quantum Fourier Transform, 0.0693297, 0.0009554, 0.0067882
2.13, 2.13 4 Qubit Quantum Fourier Transform, 0.0811842, 0.0013641, 0.007924
2.14, 2.14 5 Qubit Quantum Fourier Transform, 0.0756466, 0.0020861, 0.0073067
2.15, 2.15 Gover's search with 9 items, 0.0880287, 0.0022706, 0.00852
2.16, 2.16 Quantum Approximate Optimization MaxCut, 0.07148, 0.0014412, 0.0069436
2.17, 2.17 011_3_qubit_grover_50_, 0.0880076, 0.0023464, 0.0085126
2.18, 2.18 adder, 0.0602643, 0.0022791, 0.0057423
2.19, 2.19 bernstein-vazirani, 0.0725862, 0.0013573, 0.0070561
2.20, 2.20 bigadder, 0.0619476, 0.0036427, 0.005789
2.21, 2.21 Deutsch_Algorithm, 0.0630456, 0.0010117, 0.0061527
2.22, 2.22 inverseqft1, 0.064179, 0.0011991, 0.0062507
2.23, 2.23 inverseqft2, 0.0650748, 0.0011168, 0.0063465
2.24, 2.24 ipea_3_pi_8, 0.0801947, 0.0023584, 0.0077333
2.25, 2.25 iswap, 0.0685599, 0.0011653, 0.0066687
2.26, 2.26 pea_3_pi_8, 0.0871882, 0.002139, 0.0084494
2.27, 2.27 qec, 0.0629161, 0.0013357, 0.0061169
2.28, 2.28 qe_qft_3, 0.0644186, 0.0010653, 0.0062689
2.29, 2.29 qe_qft_4, 0.0845314, 0.0017767, 0.0082258
2.30, 2.30 qe_qft_5, 0.0847882, 0.002503, 0.008191
2.31, 2.31 qft, 0.0725698, 0.0016689, 0.0070401
2.32, 2.32 qpt, 0.0635928, 0.0008541, 0.0062281
2.33, 2.33 rb, 0.0606737, 0.0009614, 0.0059196
2.34, 2.34 teleport, 0.064055, 0.0010277, 0.0062501
2.35, 2.35 teleportv2, 0.061834, 0.0010331, 0.0060009
2.36, 2.36 W-state, 0.0721669, 0.0011857, 0.0070334
2.37, 2.37 W3test, 0.0606224, 0.0010839, 0.0059098
2.38, 2.38 Shors Quantum Kernel, 23.7598436, 0.3222298, 2.3436606
