"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34","Priority 35","Priority 36","Priority 37","Priority 38"
"0","q0::h (25E0A69)","q0::cx (3C14B78)","q0::u1 (1CBA73B)","q0::cx (28E11B)","q0::u1 (16FE9F8)","q0::swap (283F772)","q1::cx (690795)","q1::u1 (3B1443F)","q1::cx (13B663A)","q1::u1 (3169810)",,"q1::swap (2A3B303)",,"q3::cx (2261D15)","q3::u1 (35705BE)","q3::cx (20F33B6)","q3::u1 (288D16D)","q3::swap (3C14B22)","q1::cx (14A43C5)","q1::u1 (39C61EF)","q1::cx (7F716D)",,"q1::swap (1CBA437)",,,,,,,,,,,,,,,"q2::u1 (7AFCD6)"
"1","q1::u1 (14E5DB8)","q1::cx* (3C14B78)",,"q1::cx* (28E11B)",,"q1::swap (283F772)",,,,"q0::h (52E38D)",,,"q0::swap (28C5F3)","q1::cx (239FFCE)","q1::u1 (9FE42)","q1::cx (59F057)","q1::u1 (3297317)","q1::swap (3C14B22)","q3::cx (1D6A60)","q3::u1 (108BD64)","q3::cx (14EA886)","q3::u1 (3C3ECB7)",,"q3::swap (16EF58F)","q1::cx (FDE5F2)","q1::u1 (ED1586)","q1::cx (55C1BE)",,"q1::swap (E6A20C)",,,,,,,,,"q0::u1 (303CFB2)"
"2",,,,,"q2::u1 (EF39BB)",,"q2::cx* (690795)",,"q2::cx* (13B663A)","q2::u1 (2E9FFFA)",,,,"q2::cx* (239FFCE)",,"q2::cx* (59F057)",,,,,,"q2::h (3224D42)","q2::swap (1CBA437)","q1::swap (16EF58F)","q3::cx (1DA7227)","q3::u1 (AE0365)","q3::cx (21E1E95)","q3::u1 (30F133E)",,"q3::cx (3C516CB)","q3::u1 (1EDCD29)","q3::cx (15C3675)",,"q3::swap (1BB274)",,,,"q1::u1 (3DEA20)"
"3",,,,,,,,,,"q3::u1 (3CB5890)","q3::swap (F94616)",,,"q4::cx* (2261D15)",,"q4::cx* (20F33B6)","q4::u1 (750BD1)",,"q4::cx* (1D6A60)",,"q4::cx* (14EA886)","q4::u1 (34B759)",,,"q4::cx* (1DA7227)",,"q4::cx* (21E1E95)",,,,,,"q4::h (22D3B23)",,"q4::cx (4FB63E)","q4::u1 (2CD682F)","q4::cx (138A9AD)","q4::u1 (2FDF718)"
"4",,,,,,,,,,,"q4::swap (F94616)","q3::swap (2A3B303)","q1::swap (28C5F3)",,,,"q0::u1 (2CF5CDD)",,"q0::cx* (14A43C5)",,"q0::cx* (7F716D)","q0::u1 (1E35270)",,,"q0::cx* (FDE5F2)",,"q0::cx* (55C1BE)","q0::u1 (387AD33)","q0::swap (E6A20C)","q1::cx* (3C516CB)",,"q1::cx* (15C3675)","q1::u1 (397143F)","q1::swap (1BB274)","q3::cx* (4FB63E)",,"q3::cx* (138A9AD)","q3::h (2EDAFD9)"
"5"
