Circuit Id, Estimated Time
2.0, 0.0040008
2.1, 0.0020007
2.2, 0.0020007
2.3, 0.0020007
2.4, 0.0020008
2.5, 0.0010006
2.6, 0.0010004
2.7, 0.0010006
2.8, 0.0010005
2.9, 0.0030018
2.10, 0.0030013
2.11, 0.0040012
2.12, 2.4E-06
2.13, 4.6E-06
2.14, 7.5E-06
2.15, 1.62E-05
2.16, 0.0050055
2.17, 0.0030159
2.18, 0.0050204
2.19, 0.0020038
2.20, 0.0090407
2.21, 0.0010006
2.22, 0.0150016
2.23, 0.0100011
2.24, 0.0180112
2.25, 0.0020011
2.26, 0.004014
2.27, 0.0050012
2.28, 0.0010024
2.29, 0.0010098
2.30, 0.0010145
2.31, 0.0010048
2.32, 0.0010001
2.33, 0.0010013
2.34, 0.0050009
2.35, 0.006001
2.36, 0.0030039
2.37, 0.0030013
2.38, 0.0129389
