"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27"
"0","q0::u3 (2BCE4CC)","q0::barrier (1C464D5)","q0::u3 (3E78B82)","q0::cx (432428)","q0::u3 (25C456C)","q0::cx (13E70CF)","q0::u3 (331F74A)","q0::cx (149333E)","q0::u3 (392CD34)","q0::cx (2936D7)","q0::u3 (172ED90)","q0::swap (CED0CD)","q2::cx (B389FB)","q2::u3 (24FD9D8)","q2::cx (CEA89D)",,"q2::swap (3455735)",,,,,,,,,"q0::u3 (343ED8C)","q0::measurement (2BACF12)"
"1",,"q2::barrier (1C464D5)","q2::u3 (323E792)","q2::cx* (432428)",,"q2::cx* (13E70CF)",,,,,"q2::u3 (C1B19E)","q2::swap (CED0CD)","q0::cx (15D2A90)","q0::u3 (467F11)","q0::cx (27A779C)","q0::u3 (24E3483)","q0::swap (3455735)","q2::cx (7E294F)","q2::u3 (6F73CF)","q2::cx (3EB124C)",,"q2::swap (17010DD)",,,,"q3::u3 (343A4AF)","q3::measurement (2BACF12)"
"2","q1::u3 (A40B34)","q1::barrier (1C464D5)",,,,,"q1::u3 (2CF3E95)","q1::cx* (149333E)",,"q1::cx* (2936D7)","q1::u3 (10A5A10)",,"q1::cx* (15D2A90)",,"q1::cx* (27A779C)",,,,,,"q1::u3 (BFD89D)",,"q1::cx (671B73)","q1::u3 (39FF70E)","q1::cx (9FAF84)","q1::u3 (19D2BA4)","q1::measurement (2BACF12)"
"3",,"q3::barrier (1C464D5)",,,,,,,,,"q3::u3 (2BE9D8D)",,"q3::cx* (B389FB)",,"q3::cx* (CEA89D)","q3::u3 (16359EC)",,"q3::cx* (7E294F)",,"q3::cx* (3EB124C)","q3::u3 (160CA29)","q3::swap (17010DD)","q2::cx* (671B73)",,"q2::cx* (9FAF84)","q2::u3 (28688C9)","q2::measurement (2BACF12)"
"4"
"5"
