"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34","Priority 35","Priority 36"
"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"q0::h (26B831E)","q0::u3 (1D86150)","q0::u3 (1CF552D)","q0::measurement (6659C1)"
"1","q1::h (1C79C11)","q1::cx* (C6D626)",,"q1::cx* (2E9C20B)",,"q1::swap (30EDBA0)",,,,,,,,,,"q2::u3 (9B6BD4)","q2::cx* (3469197)",,,"q2::cx* (154110A)",,,,,,,,,,,,,,,"q2::u3 (49FE9B)","q2::measurement (39927CF)"
"2","q2::h (47C9B)","q2::cx (C6D626)","q2::u1 (2FD8756)","q2::cx (2E9C20B)",,"q2::swap (30EDBA0)","q1::cx (237D264)","q1::u1 (3F6658C)","q1::cx (3A991F3)",,"q1::swap (385B8A2)","q3::cx (F62193)","q3::u1 (A72E2B)","q3::cx (1E09F85)","q3::swap (3B37DB8)","q1::u3 (176CA78)","q1::cx (3469197)",,"q1::u1 (17B1E56)","q1::cx (154110A)",,"q1::cx (3F4995C)","q1::u1 (399643D)","q1::cx (648626)",,"q1::swap (14F6B79)","q3::cx (388B758)","q3::u1 (3CE721C)","q3::cx (2420304)","q3::swap (3CAC748)",,,,,"q1::u3 (299F37B)","q1::measurement (62664B)"
"3",,,,,,"q3::swap (221018D)",,,,"q4::h (286175)",,"q4::cx* (F62193)",,"q4::cx* (1E09F85)",,"q4::cx (E59BB3)",,"q4::u1 (12794C)","q4::cx (A643B3)",,,,,,"q4::u3 (12D1E3D)",,"q4::cx* (388B758)",,"q4::cx* (2420304)",,"q4::cx (521B28)","q4::u1 (2E2F468)","q4::cx (1FA97AF)",,"q4::u3 (3698F54)","q4::measurement (37598A6)"
"4",,,,,"q4::h (16B6D20)","q4::swap (221018D)","q3::cx* (237D264)",,"q3::cx* (3A991F3)",,"q3::swap (385B8A2)",,,,"q1::swap (3B37DB8)","q3::cx* (E59BB3)",,,"q3::cx* (A643B3)",,"q3::u3 (296102D)","q3::cx* (3F4995C)",,"q3::cx* (648626)",,"q3::swap (14F6B79)",,,,"q1::swap (3CAC748)","q3::cx* (521B28)",,"q3::cx* (1FA97AF)",,"q3::u3 (2B609F9)","q3::measurement (3225DD9)"
"5"
