Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
3.0, 3.0 Quantum Teleportation, 0.1715159, 0.0145951, 0.0155601
3.1, 3.1 Superdense coding of 0, 0.0676096, 0.0011534, 0.0065907
3.2, 3.2 Superdense coding of 1, 0.0712803, 0.0011623, 0.0069526
3.3, 3.3 Superdense coding of 2, 0.0690155, 0.0012738, 0.0067175
3.4, 3.4 Superdense coding of 3, 0.0698471, 0.001158, 0.006812
3.5, 3.5 Deutsch Algorithm Constant True, 0.0758355, 0.0012902, 0.0073871
3.6, 3.6 Deutsch Algorithm Constant False, 0.0755774, 0.0013834, 0.00735
3.7, 3.7 Deutsch Algorithm Identity, 0.0665616, 0.0014047, 0.0064436
3.8, 3.8 Deutsch Algorithm Inversion, 0.0660554, 0.001039, 0.0064287
3.9, 3.9 Deutsch-Josza with 3 qubits, 0.0740201, 0.0018346, 0.0071666
3.10, 3.10 Bernstein Vazrani for value 3 with 3 qubits, 0.0675121, 0.0015951, 0.0065377
3.11, 3.11 Simons Algorithm for 11, 0.0695828, 0.0015782, 0.0067336
3.12, 3.12 3 Qubit Quantum Fourier Transform, 0.0702254, 0.0013641, 0.0068128
3.13, 3.13 4 Qubit Quantum Fourier Transform, 0.0787246, 0.0016878, 0.0076352
3.14, 3.14 5 Qubit Quantum Fourier Transform, 0.0863436, 0.0031364, 0.0082506
3.15, 3.15 Gover's search with 9 items, 0.0983322, 0.0022968, 0.009567
3.16, 3.16 Quantum Approximate Optimization MaxCut, 0.0727395, 0.0014938, 0.007078
3.17, 3.17 011_3_qubit_grover_50_, 0.0940738, 0.0028053, 0.0090476
3.18, 3.18 adder, 0.0575529, 0.0023247, 0.0054822
3.19, 3.19 bernstein-vazirani, 0.0755435, 0.0012581, 0.0073816
3.20, 3.20 bigadder, 0.0717549, 0.0041309, 0.0067082
3.21, 3.21 Deutsch_Algorithm, 0.0698725, 0.0012493, 0.0068051
3.22, 3.22 inverseqft1, 0.0714875, 0.0014447, 0.0069545
3.23, 3.23 inverseqft2, 0.071856, 0.0014344, 0.0069947
3.24, 3.24 ipea_3_pi_8, 0.0859114, 0.0023598, 0.0083052
3.25, 3.25 iswap, 0.0713926, 0.0012858, 0.006953
3.26, 3.26 pea_3_pi_8, 0.0897482, 0.0026294, 0.008666
3.27, 3.27 qec, 0.0743215, 0.0013344, 0.0072541
3.28, 3.28 qe_qft_3, 0.0703308, 0.001368, 0.0068442
3.29, 3.29 qe_qft_4, 0.0913212, 0.0021435, 0.0088523
3.30, 3.30 qe_qft_5, 0.0947483, 0.0024725, 0.0091796
3.31, 3.31 qft, 0.0829637, 0.0016633, 0.0080859
3.32, 3.32 qpt, 0.0756701, 0.001005, 0.0074237
3.33, 3.33 rb, 0.074174, 0.0012828, 0.0072364
3.34, 3.34 teleport, 0.0713569, 0.0010789, 0.006987
3.35, 3.35 teleportv2, 0.0715487, 0.0013118, 0.0069722
3.36, 3.36 W-state, 0.0769721, 0.0013618, 0.0075318
3.37, 3.37 W3test, 0.0694875, 0.0012628, 0.0067823
3.38, 3.38 Shors Quantum Kernel, 24.1462039, 0.3291039, 2.3816052
