Circuit Id, Qubits, Classical Bits
2.0,255,170
2.1,170,170
2.2,170,170
2.3,170,170
2.4,170,170
2.5,170,85
2.6,170,85
2.7,170,85
2.8,170,85
2.9,340,255
2.10,340,255
2.11,340,340
2.12,255,0
2.13,340,0
2.14,425,0
2.15,255,0
2.16,425,425
2.17,425,255
2.18,850,425
2.19,425,170
2.20,1530,765
2.21,425,425
2.22,340,340
2.23,340,340
2.24,170,340
2.25,425,425
2.26,425,340
2.27,425,425
2.28,425,425
2.29,425,425
2.30,425,425
2.31,340,340
2.32,85,85
2.33,170,170
2.34,255,255
2.35,255,255
2.36,255,255
2.37,425,425
2.38,1530,680
