Circuit Id, Event Count
2.0,680
2.1,595
2.2,595
2.3,595
2.4,680
2.5,595
2.6,425
2.7,510
2.8,510
2.9,1530
2.10,1360
2.11,1020
2.12,1530
2.13,2890
2.14,4675
2.15,10965
2.16,3740
2.17,10710
2.18,12240
2.19,2805
2.20,24310
2.21,510
2.22,1785
2.23,1360
2.24,7310
2.25,935
2.26,8670
2.27,935
2.28,1615
2.29,6120
2.30,9180
2.31,3230
2.32,340
2.33,1360
2.34,935
2.35,1020
2.36,2805
2.37,1105
2.38,2971685
