"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12"
"0","q0::h (28F30D)","q0::swap (31B8B63)","q1::cx* (F4E74F)",,,"q1::swap (3F7E67C)",,"q3::cx* (9C21CE)","q3::swap (3B71A63)",,"q1::h (9C43C1)","q1::measurement (1717041)"
"1",,"q1::swap (31B8B63)",,"q0::h (1708B7A)",,,"q0::swap (16FED80)","q1::cx* (17D303E)","q1::swap (3B71A63)","q3::cx* (166B231)","q3::h (17E61CE)","q3::measurement (FCF24B)"
"2",,,"q2::cx (F4E74F)",,,,,"q2::cx (17D303E)",,,,"q2::measurement (E484A5)"
"3",,,,,"q3::swap (EF5984)",,,"q4::cx (9C21CE)",,"q4::cx (166B231)",,"q4::measurement (8A9D0)"
"4",,,,,"q4::swap (EF5984)","q3::swap (3F7E67C)","q1::swap (16FED80)"
"5"
