"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34","Priority 35","Priority 36","Priority 37","Priority 38","Priority 39","Priority 40","Priority 41","Priority 42","Priority 43","Priority 44","Priority 45","Priority 46","Priority 47","Priority 48","Priority 49","Priority 50","Priority 51","Priority 52","Priority 53","Priority 54","Priority 55","Priority 56","Priority 57","Priority 58","Priority 59","Priority 60"
"0","q4::u3 (158C016)","q4::cx* (1EC0C6)","q4::u3 (1BAFEC9)","q4::cx* (392F516)","q4::u3 (17F8C13)",,"q4::cx* (17BECAD)","q4::u3 (35E2DE)","q4::cx* (1E4F9CE)","q4::u3 (1730A5C)","q4::cx* (10B5D44)","q4::u3 (166476B)","q4::cx* (15C9923)","q4::u3 (24C742B)","q4::cx* (B01584)",,,"q4::cx* (230C1AB)",,"q4::cx* (16D474C)","q4::u3 (D781B0)","q4::cx* (3008E5)","q4::u3 (1B0500F)","q4::cx* (C95502)","q4::u3 (3B3E5B5)","q4::cx* (153135E)","q4::u3 (3EBAE50)",,"q4::cx* (3BE61E)","q4::u3 (2F3CF9D)","q4::cx* (2924C8C)","q4::u3 (4A385B)","q4::cx* (29BFB36)","q4::u3 (37BD4E7)","q4::cx* (22E5D17)","q4::u3 (AB7453)","q4::cx* (20716F2)",,,,,,,,,,"q4::cx* (23FCE84)",,"q4::cx* (2305812)",,,,,"q4::u3 (3B318A7)",,"q4::cx* (3649C45)","q4::u3 (2D57201)","q4::cx* (181020D)","q4::u3 (1D1A624)","q4::measurement (35591A0)"
"1","q3::u3 (981557)","q3::cx (1EC0C6)","q3::u3 (114C6F9)","q3::cx (392F516)",,"q3::swap (2021EA8)",,,,,,,,,,"q2::u3 (2A9DC9)","q2::swap (21313E9)","q3::cx (230C1AB)","q3::u3 (3B6CF08)","q3::cx (16D474C)","q3::u3 (3938F35)","q3::cx (3008E5)","q3::u3 (332D08E)","q3::cx (C95502)","q3::u3 (313FD14)","q3::cx (153135E)",,"q3::swap (2ABB336)",,,,,,,,,,"q2::swap (94CE6)",,,,,,,"q1::swap (53B41C)","q2::swap (2F15500)","q3::cx (23FCE84)","q3::u3 (3E42AC)","q3::cx (2305812)","q3::u3 (14BDDE4)","q3::cx* (29EC8FB)","q3::u3 (3D9791)","q3::cx* (22A541A)",,"q3::swap (27BFD03)",,,,"q2::u3 (5ED74A)","q2::measurement (35591A0)"
"2",,,,,"q2::u3 (1663B42)","q2::swap (2021EA8)","q3::cx (17BECAD)","q3::u3 (15B5218)","q3::cx (1E4F9CE)","q3::u3 (10CC843)","q3::cx (10B5D44)","q3::u3 (9882CB)","q3::cx (15C9923)","q3::u3 (41623D)","q3::cx (B01584)",,"q3::swap (21313E9)","q2::cx (34920D4)","q2::u3 (192277C)","q2::cx (2236360)","q2::u3 (1327167)","q2::cx (2C5FCA5)","q2::u3 (A4F073)","q2::cx (1CC740C)","q2::u3 (301471)","q2::cx (33677C7)","q2::u3 (EA3603)","q2::swap (2ABB336)","q3::cx (3BE61E)","q3::u3 (21B1711)","q3::cx (2924C8C)","q3::u3 (324B0ED)","q3::cx (29BFB36)","q3::u3 (35A7C1F)","q3::cx (22E5D17)","q3::u3 (3A145D0)","q3::cx (20716F2)",,"q3::cx (3964D50)","q3::u3 (48B7D8)","q3::cx (28E7698)","q3::u3 (3138630)","q3::cx (3AFB7B1)","q3::u3 (2991F45)",,"q3::swap (2F15500)","q2::cx (3621971)","q2::u3 (272E4FD)","q2::cx (25A7442)","q2::u3 (12E1654)","q2::cx (29EC8FB)","q2::u3 (39510D7)","q2::cx (22A541A)","q2::u3 (37CF4EB)","q2::swap (27BFD03)","q3::cx (3649C45)","q3::u3 (2897E71)","q3::cx (181020D)","q3::u3 (1891275)","q3::measurement (35591A0)"
"3",,,,,,,,,,,,,,,,"q1::u3 (3B60695)",,"q1::cx* (34920D4)",,"q1::cx* (2236360)","q1::u3 (33E7E60)","q1::cx* (2C5FCA5)","q1::u3 (F5E1D3)","q1::cx* (1CC740C)","q1::u3 (1B0B7F9)","q1::cx* (33677C7)","q1::u3 (3AACD0B)",,"q1::cx* (1013563)","q1::u3 (161E476)","q1::cx* (71082B)","q1::u3 (3C395B8)","q1::cx* (1E0437A)","q1::u3 (E25F4D)","q1::cx* (3A02793)","q1::u3 (1AC85B1)","q1::cx* (310B341)","q1::swap (94CE6)","q2::cx* (3964D50)",,"q2::cx* (28E7698)","q2::u3 (3022B5A)","q2::cx* (3AFB7B1)","q2::u3 (12D7540)","q2::swap (53B41C)",,"q1::cx* (3621971)","q1::u3 (20A0CEA)","q1::cx* (25A7442)",,,,,,,,,,,"q1::measurement (35591A0)"
"4",,,,,,,,,,,,,,,,,,,,,,,,,,,"q0::u3 (3F7C7D7)",,"q0::cx (1013563)","q0::u3 (10AE07E)","q0::cx (71082B)","q0::u3 (3F94986)","q0::cx (1E0437A)","q0::u3 (3F559BB)","q0::cx (3A02793)","q0::u3 (A16430)","q0::cx (310B341)",,,,,,,,,,,,,,,,,,,,,,,"q0::measurement (35591A0)"
"5"
