"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20"
"0","q0::u3 (38A71A5)","q0::barrier (3DDFED0)","q0::swap (3D95CAC)","q1::swap (2A4420C)","q2::cx* (2CDF554)",,"q2::swap (3C65273)",,,,,"q1::swap (1F8E611)",,,"q0::if 1 then u3 (6124B6)",,,,,"q0::measurement (A18A47)"
"1",,"q1::barrier (3DDFED0)","q1::swap (3D95CAC)",,,"q0::swap (1C0169F)","q1::swap (3C65273)","q2::cx* (13D9FFB)","q2::swap (3C0CB9F)","q3::cx* (32A9FD4)","q3::swap (1C72898)",,,,,,"q4::if 3 then u3 (2BC9D96)","q4::swap (6D5D)","q3::swap (3D845)","q2::measurement (A18A47)"
"2",,"q2::barrier (3DDFED0)",,"q2::swap (2A4420C)",,"q1::swap (1C0169F)",,,,,,"q0::swap (1F8E611)","q1::cx* (7F9E7A)",,,"q1::if 2 then u3 (36A4A66)",,,,"q1::measurement (A18A47)"
"3",,,,,"q3::cx (2CDF554)",,,"q3::cx (13D9FFB)","q3::swap (3C0CB9F)",,,"q2::swap (229A73)",,"q3::measurement (7C924D)",,,,"q3::swap (6D5D)"
"4",,,,,,,,,,"q4::cx (32A9FD4)","q4::swap (1C72898)","q3::swap (229A73)","q2::cx (7F9E7A)","q2::measurement (7C924D)",,,,,"q2::swap (3D845)"
"5"
