"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34","Priority 35","Priority 36","Priority 37","Priority 38","Priority 39","Priority 40","Priority 41","Priority 42","Priority 43","Priority 44","Priority 45","Priority 46","Priority 47","Priority 48"
"0","q3::u3 (3256686)",,"q3::cx* (509AB7)","q3::u3 (180F3FD)","q3::cx* (18893ED)","q3::u3 (36CE21)",,"q3::cx* (1ED3F30)","q3::u3 (10FE6C)","q3::cx* (98F1D4)","q3::u3 (648422)","q3::swap (EF47E0)",,"q4::cx* (388A532)","q4::u3 (3CDCEC8)","q4::cx* (1E6D6F)","q4::u3 (1A0A03E)","q4::cx* (2A5A235)",,"q4::swap (6986E3)","q3::swap (3B5BE01)","q1::cx* (3D2B3DE)",,"q1::cx* (1AAE977)",,"q1::swap (163AE09)",,,,,,,,,,"q2::u3 (3023530)",,,"q2::cx* (22AAEB1)","q2::u3 (3802439)","q2::cx* (38B7621)","q2::u3 (3206081)","q2::cx* (23648E)",,,,,"q2::measurement (39FB872)"
"1","q2::u3 (220999D)","q2::swap (811E56)","q1::cx (509AB7)","q1::u3 (2D57071)","q1::cx (18893ED)",,"q1::swap (8A1107)",,,,,,,,,,,,"q2::u3 (1CD3359)",,,"q2::cx (3D2B3DE)","q2::u3 (26852D4)","q2::cx (1AAE977)","q2::u3 (313DEB0)","q2::swap (163AE09)","q1::cx* (124896F)","q1::u3 (248D4EC)","q1::cx* (10B5EC9)","q1::u3 (98FDAE)","q1::cx* (160EB24)",,,,,,"q1::swap (DA9947)",,,,,,,,,,,"q0::measurement (39FB872)"
"2",,"q1::swap (811E56)",,,,"q2::u3 (2E72D83)","q2::swap (8A1107)","q1::cx (1ED3F30)","q1::u3 (15738B6)","q1::cx (98F1D4)","q1::u3 (1608075)",,"q1::swap (3AF6386)","q3::cx (388A532)","q3::u3 (23C450C)","q3::cx (1E6D6F)","q3::u3 (111D8EA)","q3::cx (2A5A235)",,"q3::swap (6986E3)",,"q4::cx (31CE678)","q4::u3 (41A3D)","q4::cx (24EC2C)","q4::u3 (3AEB9EF)","q4::swap (12A7FBE)","q3::cx (124896F)","q3::u3 (8F7C4F)","q3::cx (10B5EC9)","q3::u3 (1665513)","q3::cx (160EB24)",,"q3::cx (684444)","q3::u3 (3AA6669)","q3::cx (FD99B2)","q3::u3 (3DA1A1)",,"q3::swap (27E7DAE)","q1::cx (22AAEB1)","q1::u3 (3814603)","q1::cx (38B7621)","q1::u3 (3E7272A)","q1::cx (23648E)","q1::cx (3997E1A)","q1::u3 (656EEB)","q1::cx (390E644)","q1::u3 (D8DB9A)","q1::measurement (39FB872)"
"3",,,,,,,,,,,"q0::u3 (529347)",,,"q0::cx* (3B2D430)","q0::u3 (14975B1)","q0::cx* (3E3D23)","q0::u3 (3B1582D)","q0::cx* (13C199B)",,,,,,,,,,,,,,,,,,,"q0::swap (DA9947)","q1::swap (27E7DAE)","q3::cx* (13E8902)","q3::u3 (332D116)","q3::cx* (314282B)","q3::u3 (160B5B4)","q3::cx* (666358)","q3::cx* (3997E1A)",,"q3::cx* (390E644)","q3::u3 (181866)","q3::measurement (39FB872)"
"4",,,,,,,,,,,,"q4::swap (EF47E0)","q3::swap (3AF6386)","q1::cx (3B2D430)","q1::u3 (395233C)","q1::cx (3E3D23)","q1::u3 (230263D)","q1::cx (13C199B)",,,"q1::swap (3B5BE01)","q3::cx* (31CE678)",,"q3::cx* (24EC2C)",,"q3::swap (12A7FBE)",,,,,,"q4::u3 (14C4D8C)","q4::cx* (684444)",,"q4::cx* (FD99B2)","q4::u3 (EA674A)",,,"q4::cx (13E8902)","q4::u3 (C959CB)","q4::cx (314282B)","q4::u3 (3B56985)","q4::cx (666358)",,,,,"q4::measurement (39FB872)"
"5"
