"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20"
"0","q0::u3 (38A71A5)","q0::barrier (3DDFED0)","q0::swap (1ADDC82)","q1::swap (31CC099)","q2::cx* (2CDF554)",,"q2::swap (2C563)",,,,,"q1::swap (18F083)",,,"q0::if 1 then u3 (6124B6)",,,,,"q0::measurement (A18A47)"
"1",,"q1::barrier (3DDFED0)","q1::swap (1ADDC82)",,,"q0::swap (E074A1)","q1::swap (2C563)","q2::cx* (13D9FFB)","q2::swap (3E419AE)","q3::cx* (32A9FD4)","q3::swap (304E723)",,,,,,"q4::if 3 then u3 (2BC9D96)","q4::swap (32C2042)","q3::swap (8D2252)","q2::measurement (A18A47)"
"2",,"q2::barrier (3DDFED0)",,"q2::swap (31CC099)",,"q1::swap (E074A1)",,,,,,"q0::swap (18F083)","q1::cx* (7F9E7A)",,,"q1::if 2 then u3 (36A4A66)",,,,"q1::measurement (A18A47)"
"3",,,,,"q3::cx (2CDF554)",,,"q3::cx (13D9FFB)","q3::swap (3E419AE)",,,"q2::swap (F634E5)",,"q3::measurement (7C924D)",,,,"q3::swap (32C2042)"
"4",,,,,,,,,,"q4::cx (32A9FD4)","q4::swap (304E723)","q3::swap (F634E5)","q2::cx (7F9E7A)","q2::measurement (7C924D)",,,,,"q2::swap (8D2252)"
"5"
