"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27"
"0","q0::h (13F2DA9)","q0::cx (FD727F)","q0::u1 (E9067B)","q0::cx (313A56)","q0::u1 (1BB0D09)","q0::swap (1A19083)","q1::cx (2F2004)","q1::u1 (1A82025)","q1::cx (2E92153)","q1::u1 (2322BEE)",,"q1::swap (2AE149C)",,"q3::cx (1DFE657)","q3::u1 (DF190F)","q3::cx (3D7E188)",,"q3::swap (1EB97C)",,,,,"q1::swap (114855C)",,,,"q2::u1 (296EDCB)"
"1","q1::u1 (3389AF1)","q1::cx* (FD727F)",,"q1::cx* (313A56)",,"q1::swap (1A19083)",,,,"q0::h (34E5C2A)",,,"q0::swap (1B8B03D)","q1::cx (3CB2964)","q1::u1 (224748A)","q1::cx (34818DF)","q1::u1 (188DFDC)","q1::swap (1EB97C)","q3::cx (4ED4DB)","q3::u1 (2C57BB6)","q3::cx (F1596E)",,"q3::swap (37E3228)",,,,"q4::u1 (7C24E3)"
"2",,,,,"q2::u1 (3937555)",,"q2::cx* (2F2004)",,"q2::cx* (2E92153)","q2::u1 (1C13D7C)",,,,"q2::cx* (3CB2964)",,"q2::cx* (34818DF)",,,,,,"q2::h (5D4BFE)","q2::swap (114855C)","q1::cx (1850B72)","q1::u1 (1AD6705)","q1::cx (3189F33)","q1::u1 (3DD98CB)"
"3",,,,,,,,,,"q3::u1 (3C38B5F)","q3::swap (36FC36F)",,,"q4::cx* (1DFE657)",,"q4::cx* (3D7E188)","q4::u1 (1CFDEC3)",,"q4::cx* (4ED4DB)",,"q4::cx* (F1596E)","q4::u1 (347ABF0)","q4::swap (37E3228)","q3::cx* (1850B72)",,"q3::cx* (3189F33)","q3::h (2CA5F28)"
"4",,,,,,,,,,,"q4::swap (36FC36F)","q3::swap (2AE149C)","q1::swap (1B8B03D)"
"5"
