"Operation Index","Operation Name","Latency","Priority"
0,"u3 (3FB2F0E)","00:00:00.0010000","17"
1,"u3 (3D4A780)","00:00:00.0010000","19"
2,"cx (279E386)","00:00:00.0020000","18"
3,"barrier (248FFB7)","00:00:00.0010000","16"
4,"cx (90FD76)","00:00:00.0020000","15"
5,"u3 (118E92B)","00:00:00.0010000","13"
6,"measurement (1E03287)","00:00:00.0030000","12"
7,"measurement (E1C6C3)","00:00:00.0030000","12"
8,"if 1 then u3 (3EFFCE0)","00:00:00.0020000","9"
9,"if 2 then u3 (36FE3E8)","00:00:00.0020000","7"
10,"if 3 then u3 (2EF032A)","00:00:00.0020000","5"
11,"measurement (2671C81)","00:00:00.0030000","3"
