"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6"
"0","q0::h (3296DB7)","q0::cx* (74DB74)","q0::z (1BB715)","q0::cx* (F96FC5)","q0::h (C4EDF4)","q0::measurement (2EC5D9C)"
"1",,"q1::cx (74DB74)",,"q1::cx (F96FC5)",,"q1::measurement (24F4A7C)"
"2"
"3"
"4"
"5"
"6"
"7"
"8"
"9"
"10"
"11"
"12"
"13"
"14"
"15"
"16"
"17"
"18"
"19"
"20"
"21"
"22"
"23"
"24"
"25"
"26"
"27"
"28"
"29"
"30"
"31"
"32"
