Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
3.0, 3.0 Quantum Teleportation, 0.1379074, 0.0144702, 0.0122191
3.1, 3.1 Superdense coding of 0, 0.0682529, 0.0012482, 0.0066388
3.2, 3.2 Superdense coding of 1, 0.0682533, 0.0012075, 0.0066452
3.3, 3.3 Superdense coding of 2, 0.0667173, 0.0013477, 0.0064738
3.4, 3.4 Superdense coding of 3, 0.0708248, 0.001154, 0.0069143
3.5, 3.5 Deutsch Algorithm Constant True, 0.0698666, 0.0019589, 0.0067031
3.6, 3.6 Deutsch Algorithm Constant False, 0.0741258, 0.00166, 0.007192
3.7, 3.7 Deutsch Algorithm Identity, 0.0643736, 0.0012111, 0.0062672
3.8, 3.8 Deutsch Algorithm Inversion, 0.0652319, 0.0011584, 0.0063545
3.9, 3.9 Deutsch-Josza with 3 qubits, 0.0722196, 0.0017466, 0.0069564
3.10, 3.10 Bernstein Vazrani for value 3 with 3 qubits, 0.0692786, 0.0016223, 0.0067118
3.11, 3.11 Simons Algorithm for 11, 0.0683209, 0.0013351, 0.0066476
3.12, 3.12 3 Qubit Quantum Fourier Transform, 0.0698097, 0.0015478, 0.0067838
3.13, 3.13 4 Qubit Quantum Fourier Transform, 0.0737805, 0.0015951, 0.0071617
3.14, 3.14 5 Qubit Quantum Fourier Transform, 0.0810814, 0.0018287, 0.0078694
3.15, 3.15 Gover's search with 9 items, 0.0926069, 0.0028554, 0.0089153
3.16, 3.16 Quantum Approximate Optimization MaxCut, 0.0766643, 0.0016849, 0.0074434
3.17, 3.17 011_3_qubit_grover_50_, 0.1009638, 0.0033619, 0.0097066
3.18, 3.18 adder, 0.0595284, 0.0036505, 0.0055336
3.19, 3.19 bernstein-vazirani, 0.0739729, 0.0015074, 0.0071942
3.20, 3.20 bigadder, 0.0637358, 0.0040488, 0.0059155
3.21, 3.21 Deutsch_Algorithm, 0.0665906, 0.0011642, 0.0065034
3.22, 3.22 inverseqft1, 0.0694157, 0.0016173, 0.0067483
3.23, 3.23 inverseqft2, 0.0691463, 0.0013217, 0.0067335
3.24, 3.24 ipea_3_pi_8, 0.0849587, 0.0025283, 0.0081888
3.25, 3.25 iswap, 0.0712134, 0.0014909, 0.0069236
3.26, 3.26 pea_3_pi_8, 0.0926019, 0.0026324, 0.008943
3.27, 3.27 qec, 0.0690212, 0.0014378, 0.0067136
3.28, 3.28 qe_qft_3, 0.0691967, 0.0017347, 0.006704
3.29, 3.29 qe_qft_4, 0.0844881, 0.0019332, 0.0082208
3.30, 3.30 qe_qft_5, 0.0925827, 0.0024644, 0.0089541
3.31, 3.31 qft, 0.0750898, 0.0015809, 0.007302
3.32, 3.32 qpt, 0.0663944, 0.0010753, 0.0064832
3.33, 3.33 rb, 0.06668, 0.0012782, 0.0064714
3.34, 3.34 teleport, 0.0676462, 0.0013862, 0.0065644
3.35, 3.35 teleportv2, 0.0664343, 0.0012301, 0.0064661
3.36, 3.36 W-state, 0.0728055, 0.0014847, 0.007085
3.37, 3.37 W3test, 0.0662293, 0.0012535, 0.0064492
3.38, 3.38 Shors Quantum Kernel, 21.0256676, 0.2998682, 2.0724759
