Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
1.0, 1.0 Quantum Teleportation, 00:00:09.8866784, 00:00:09.4659351, 00:00:00.0417440
1.1, 1.1 Superdense coding of 0, 00:01:09.3999183, 00:01:08.8755589, 00:00:00.0522607
1.2, 1.2 Superdense coding of 1, 00:01:11.5943129, 00:01:11.1849477, 00:00:00.0406942
1.3, 1.3 Superdense coding of 2, 00:01:11.1616911, 00:01:10.7471171, 00:00:00.0412620
1.4, 1.4 Superdense coding of 3, 00:01:11.4549123, 00:01:11.0376841, 00:00:00.0415605
1.5, 1.5 Deutsch Algorithm Constant True, 00:01:09.2717842, 00:01:08.8925980, 00:00:00.0377094
1.6, 1.6 Deutsch Algorithm Constant False, 00:01:18.6321315, 00:01:18.2560564, 00:00:00.0374123
1.7, 1.7 Deutsch Algorithm Identity, 00:01:12.0375600, 00:01:11.6108770, 00:00:00.0424997
1.8, 1.8 Deutsch Algorithm Inversion, 00:01:13.9626951, 00:01:13.5993145, 00:00:00.0362265
1.9, 1.9 Deutsch-Josza with 3 qubits, 00:00:08.7914874, 00:00:08.7375242, 00:00:00.0052995
1.10, 1.10 Bernstein Vazrani for value 3 with 3 qubits, 00:00:08.9629070, 00:00:08.8323594, 00:00:00.0129474
1.11, 1.11 Simons Algorithm for 11, 00:00:10.1450225, 00:00:10.0882224, 00:00:00.0055784
1.12, 1.12 3 Qubit Quantum Fourier Transform, 00:00:17.4644830, 00:00:17.3622954, 00:00:00.0101076
1.21, 1.21 Deutsch_Algorithm, 00:01:09.5512296, 00:01:09.0529969, 00:00:00.0496976
1.22, 1.22 inverseqft1, 00:01:11.4290389, 00:01:11.0639329, 00:00:00.0364019
1.23, 1.23 inverseqft2, 00:01:10.7115681, 00:01:10.3537031, 00:00:00.0356421
1.25, 1.25 iswap, 00:01:11.3677817, 00:01:11.2463759, 00:00:00.0120391
1.27, 1.27 qec, 00:00:10.3741667, 00:00:10.2659736, 00:00:00.0106556
1.28, 1.28 qe_qft_3, 00:00:17.5955309, 00:00:17.4939172, 00:00:00.0100198
1.32, 1.32 qpt, 00:01:19.5070567, 00:01:19.0688258, 00:00:00.0436944
1.33, 1.33 rb, 00:01:10.2218793, 00:01:09.8485829, 00:00:00.0372005
1.34, 1.34 teleport, 00:01:11.9470660, 00:01:11.5770261, 00:00:00.0368762
1.35, 1.35 teleportv2, 00:01:13.1647116, 00:01:12.7620244, 00:00:00.0401683
1.37, 1.37 W3test, 00:00:17.1436233, 00:00:17.0252932, 00:00:00.0116692
