"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9"
"0","q0::u3 (2516EF2)","q0::cx* (3C41AA6)",,,,,,,"q0::measurement (1984E04)"
"1",,,,"q1::u3 (DCE684)","q1::cx* (16FE3DF)",,"q1::u3 (6719BD)","q1::cx* (9F251C)","q1::measurement (25ABE24)"
"2",,"q2::cx (3C41AA6)","q2::u3 (1E4EFD9)","q2::u3 (10C6EA7)","q2::cx (16FE3DF)","q2::u3 (EF02DC)","q2::u3 (39FE7AD)","q2::cx (9F251C)","q2::measurement (130AF46)"
"3"
"4"
"5"
