"Operation Index","Operation Name","Latency","Priority"
0,"u3 (108BD64)","00:00:00.0010000","22"
1,"barrier (14EA886)","00:00:00.0010000","21"
2,"cx (3C3ECB7)","00:00:00.0020000","20"
3,"cx (1E35270)","00:00:00.0020000","18"
4,"cx (FDE5F2)","00:00:00.0020000","16"
5,"cx (ED1586)","00:00:00.0020000","14"
6,"measurement (55C1BE)","00:00:00.0030000","12"
7,"if 1 then u3 (303CFB2)","00:00:00.0020000","9"
8,"if 2 then u3 (3224D42)","00:00:00.0020000","7"
9,"if 3 then u3 (34B759)","00:00:00.0020000","5"
10,"measurement (1DA7227)","00:00:00.0030000","3"
