"Operation Index","Operation Name","Latency","Priority"
0,"u3 (3282FD3)","00:00:00.0010000","15"
1,"u3 (69AE6F)","00:00:00.0010000","17"
2,"cx (3B721EA)","00:00:00.0020000","16"
3,"barrier (170313D)","00:00:00.0010000","14"
4,"cx (F1BB29)","00:00:00.0020000","13"
5,"u3 (7F9478)","00:00:00.0010000","11"
6,"measurement (7C3839)","00:00:00.0030000","10"
7,"measurement (5DFA07)","00:00:00.0030000","8"
8,"if 1 then u3 (34DCA42)","00:00:00.0020000","7"
9,"if 1 then u3 (1BC1C53)","00:00:00.0020000","5"
10,"measurement (39CFEEB)","00:00:00.0030000","3"
