"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12"
"0","q0::h (13F26D9)","q0::swap (3A11DC9)","q1::cx* (FB4AAC)",,,"q1::swap (AA0C13)",,"q3::cx* (D5A014)","q3::swap (1FA6CAF)",,"q1::h (54DAA6)","q1::measurement (2D92E9B)"
"1",,"q1::swap (3A11DC9)",,"q0::h (3385DA1)",,,"q0::swap (1CDD22F)","q1::cx* (382A0B9)","q1::swap (1FA6CAF)","q3::cx* (397A684)","q3::h (2FBAFD8)","q3::measurement (1A2A379)"
"2",,,"q2::cx (FB4AAC)",,,,,"q2::cx (382A0B9)",,,,"q2::measurement (2B7BF41)"
"3",,,,,"q3::swap (3C63AB)",,,"q4::cx (D5A014)",,"q4::cx (397A684)",,"q4::measurement (75B94E)"
"4",,,,,"q4::swap (3C63AB)","q3::swap (AA0C13)","q1::swap (1CDD22F)"
"5"
