"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30"
"0","q0::u3 (3AA9F44)","q0::barrier (FC6485)","q0::u3 (DF88B0)","q0::swap (3013988)","q1::cx (2BA3FF1)","q1::u3 (8C3F81)","q1::cx (EE3B8F)","q1::u3 (60180C)","q1::cx (1A47C00)","q1::u3 (2C85C03)","q1::cx (10B3C23)","q1::u3 (1651D40)",,"q1::swap (30B05D0)",,"q3::cx (32A8306)","q3::u3 (7E9B3E)","q3::cx (737535)",,"q3::swap (3633455)",,,,,,,,,"q4::u3 (F1EE5)","q4::measurement (17CB368)"
"1",,"q2::barrier (FC6485)","q2::u3 (3DBCE37)",,"q2::cx* (2BA3FF1)",,"q2::cx* (EE3B8F)",,,,,"q2::u3 (360D871)",,,,"q2::cx (FE415D)","q2::u3 (F04C47)","q2::cx (72AE82)","q2::u3 (82298)","q2::swap (27CD700)","q1::cx (C8C677)","q1::u3 (30EFA35)","q1::cx (386CBDE)",,"q1::swap (2638F02)",,,,"q2::u3 (3BD2AD5)","q2::measurement (17CB368)"
"2","q1::u3 (FF9964)","q1::barrier (FC6485)",,"q1::swap (3013988)",,,,"q0::u3 (2679C00)","q0::cx* (1A47C00)",,"q0::cx* (10B3C23)","q0::u3 (8E0743)",,,"q0::swap (1800714)","q1::cx* (FE415D)",,"q1::cx* (72AE82)",,"q1::swap (27CD700)",,,,"q2::u3 (493758)","q2::swap (2638F02)","q1::cx (2DA8D96)","q1::u3 (1AEFA4A)","q1::cx (326CC9F)","q1::u3 (5D319F)","q1::measurement (17CB368)"
"3",,"q3::barrier (FC6485)",,,,,,,,,,"q3::u3 (292F21D)","q3::swap (1803FB7)",,,"q4::cx* (32A8306)",,"q4::cx* (737535)","q4::u3 (88160D)","q4::swap (3633455)","q3::cx* (C8C677)",,"q3::cx* (386CBDE)","q3::u3 (1A68182)",,"q3::cx* (2DA8D96)",,"q3::cx* (326CC9F)","q3::u3 (346BE99)","q3::measurement (17CB368)"
"4",,,,,,,,,,,,,"q4::swap (1803FB7)","q3::swap (30B05D0)","q1::swap (1800714)"
"5"
