"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34","Priority 35","Priority 36","Priority 37","Priority 38"
"0","q0::h (3DA4582)","q0::cx (FFE60)","q0::u1 (8FF161)","q0::cx (10F7C6E)","q0::u1 (18B5FDE)","q0::swap (1A7C885)","q1::cx (1195578)","q1::u1 (1E4013B)","q1::cx (1040B16)","q1::u1 (12463CA)",,"q1::swap (2E60CB4)",,"q3::cx (83932A)","q3::u1 (A02C80)","q3::cx (1A19083)","q3::u1 (2AE149C)","q3::swap (2167256)","q1::cx (114855C)","q1::u1 (1B8B03D)","q1::cx (37E3228)",,"q1::swap (2CA050E)",,,,,,,,,,,,,,,"q2::u1 (36FC36F)"
"1","q1::u1 (2AC7198)","q1::cx* (FFE60)",,"q1::cx* (10F7C6E)",,"q1::swap (1A7C885)",,,,"q0::h (2EDDEE9)",,,"q0::swap (11A2D84)","q1::cx (1438807)","q1::u1 (35FC844)","q1::cx (25E0A69)","q1::u1 (14E5DB8)","q1::swap (2167256)","q3::cx (1CBA73B)","q3::u1 (28E11B)","q3::cx (16FE9F8)","q3::u1 (EF39BB)",,"q3::swap (1EB99A9)","q1::cx (3B1443F)","q1::u1 (13B663A)","q1::cx (3169810)",,"q1::swap (14866F6)",,,,,,,,,"q0::u1 (3CB5890)"
"2",,,,,"q2::u1 (1E65ED4)",,"q2::cx* (1195578)",,"q2::cx* (1040B16)","q2::u1 (25CD639)",,,,"q2::cx* (1438807)",,"q2::cx* (25E0A69)",,,,,,"q2::h (2261D15)","q2::swap (2CA050E)","q1::swap (1EB99A9)","q3::cx (20F33B6)","q3::u1 (288D16D)","q3::cx (2CF5CDD)","q3::u1 (14A43C5)",,"q3::cx (7F716D)","q3::u1 (7AFCD6)","q3::cx (52E38D)",,"q3::swap (38B9EAD)",,,,"q1::u1 (2E9FFFA)"
"3",,,,,,,,,,"q3::u1 (2478221)","q3::swap (3E89415)",,,"q4::cx* (83932A)",,"q4::cx* (1A19083)","q4::u1 (3C14B78)",,"q4::cx* (1CBA73B)",,"q4::cx* (16FE9F8)","q4::u1 (35705BE)",,,"q4::cx* (20F33B6)",,"q4::cx* (2CF5CDD)",,,,,,"q4::h (239FFCE)",,"q4::cx (59F057)","q4::u1 (3297317)","q4::cx (750BD1)","q4::u1 (1D6A60)"
"4",,,,,,,,,,,"q4::swap (3E89415)","q3::swap (2E60CB4)","q1::swap (11A2D84)",,,,"q0::u1 (1EB97C)",,"q0::cx* (114855C)",,"q0::cx* (37E3228)","q0::u1 (690795)",,,"q0::cx* (3B1443F)",,"q0::cx* (3169810)","q0::u1 (39C61EF)","q0::swap (14866F6)","q1::cx* (7F716D)",,"q1::cx* (52E38D)","q1::u1 (9FE42)","q1::swap (38B9EAD)","q3::cx* (59F057)",,"q3::cx* (750BD1)","q3::h (108BD64)"
"5"
