"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34","Priority 35","Priority 36","Priority 37"
"0","q0::h (3DA4582)","q0::cx (FFE60)","q0::u1 (8FF161)","q0::cx (10F7C6E)","q0::u1 (18B5FDE)","q0::swap (14EA886)","q1::cx (1195578)","q1::u1 (1E4013B)","q1::cx (1040B16)","q1::u1 (12463CA)","q1::swap (3C3ECB7)","q2::cx (83932A)","q2::u1 (A02C80)","q2::cx (1A19083)","q2::u1 (2AE149C)","q2::swap (1E35270)","q3::cx (114855C)","q3::u1 (1B8B03D)","q3::cx (37E3228)",,,"q3::swap (FDE5F2)",,,,,,"q2::swap (ED1586)",,,,,,,,,"q3::u1 (36FC36F)"
"1","q1::u1 (2AC7198)","q1::cx* (FFE60)",,"q1::cx* (10F7C6E)",,"q1::swap (14EA886)",,,,"q0::h (2EDDEE9)",,"q0::cx (1438807)","q0::u1 (35FC844)","q0::cx (25E0A69)","q0::u1 (14E5DB8)","q0::swap (55C1BE)","q1::cx (1CBA73B)","q1::u1 (28E11B)","q1::cx (16FE9F8)","q1::u1 (EF39BB)","q1::swap (303CFB2)","q2::swap (FDE5F2)","q3::cx (3B1443F)","q3::u1 (13B663A)","q3::cx (3169810)",,"q3::swap (3224D42)",,,,,,,,,,"q4::u1 (3CB5890)"
"2",,,,,"q2::u1 (1E65ED4)",,"q2::cx* (1195578)",,"q2::cx* (1040B16)","q2::u1 (25CD639)","q2::swap (3C3ECB7)","q1::cx* (1438807)",,"q1::cx* (25E0A69)",,"q1::swap (55C1BE)",,,,"q0::h (2261D15)",,,"q0::cx (20F33B6)","q0::u1 (288D16D)","q0::cx (2CF5CDD)","q0::u1 (14A43C5)",,"q0::swap (34B759)","q1::cx (7F716D)","q1::u1 (7AFCD6)","q1::cx (52E38D)",,"q1::swap (1DA7227)",,,,"q0::u1 (2E9FFFA)"
"3",,,,,,,,,,"q3::u1 (2478221)",,"q3::cx* (83932A)",,"q3::cx* (1A19083)","q3::u1 (3C14B78)","q3::swap (1E35270)","q2::cx* (1CBA73B)",,"q2::cx* (16FE9F8)","q2::u1 (35705BE)","q2::swap (303CFB2)",,"q1::cx* (20F33B6)",,"q1::cx* (2CF5CDD)",,,"q1::swap (34B759)",,,,"q0::h (239FFCE)","q0::swap (1DA7227)","q1::cx (59F057)","q1::u1 (3297317)","q1::cx (750BD1)","q1::u1 (1D6A60)"
"4",,,,,,,,,,,,,,,"q4::u1 (1EB97C)",,"q4::cx* (114855C)",,"q4::cx* (37E3228)","q4::u1 (690795)",,,"q4::cx* (3B1443F)",,"q4::cx* (3169810)","q4::u1 (39C61EF)","q4::swap (3224D42)","q3::swap (ED1586)","q2::cx* (7F716D)",,"q2::cx* (52E38D)","q2::u1 (9FE42)",,"q2::cx* (59F057)",,"q2::cx* (750BD1)","q2::h (108BD64)"
"5"
