"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14"
"0","q0::u3 (37759DE)","q0::barrier (33228CF)","q0::swap (A18A47)","q2::cx* (C36F4D)","q2::swap (1ADDC82)",,,,,,"q1::if 1 then u3 (303F792)",,,"q1::measurement (24BFFF6)"
"1",,"q1::barrier (33228CF)",,,"q1::swap (1ADDC82)","q2::cx* (2DEE9B8)","q2::cx* (1D63779)","q2::swap (31CC099)",,,,,"q0::if 3 then u3 (415554)","q0::measurement (24BFFF6)"
"2",,"q2::barrier (33228CF)","q2::swap (A18A47)",,,,,"q0::swap (31CC099)","q2::cx* (87F341)",,,"q2::if 2 then u3 (323B425)",,"q2::measurement (24BFFF6)"
"3",,,,"q3::cx (C36F4D)",,"q3::cx (2DEE9B8)",,,,"q3::measurement (C78D49)"
"4",,,,,,,"q4::cx (1D63779)",,"q4::cx (87F341)","q4::measurement (C78D49)"
"5"
