"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12"
"0","q0::h (13F26D9)","q0::swap (131A902)","q1::cx* (FB4AAC)",,,"q1::swap (2BEF119)",,"q3::cx* (D5A014)","q3::swap (B679E5)",,"q1::h (54DAA6)","q1::measurement (2D92E9B)"
"1",,"q1::swap (131A902)",,"q0::h (3385DA1)",,,"q0::swap (26A490F)","q1::cx* (382A0B9)","q1::swap (B679E5)","q3::cx* (397A684)","q3::h (2FBAFD8)","q3::measurement (1A2A379)"
"2",,,"q2::cx (FB4AAC)",,,,,"q2::cx (382A0B9)",,,,"q2::measurement (2B7BF41)"
"3",,,,,"q3::swap (1BC9188)",,,"q4::cx (D5A014)",,"q4::cx (397A684)",,"q4::measurement (75B94E)"
"4",,,,,"q4::swap (1BC9188)","q3::swap (2BEF119)","q1::swap (26A490F)"
"5"
