"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17"
"0","q0::u3 (37759DE)","q0::barrier (33228CF)","q0::swap (2CDF554)","q1::cx* (C36F4D)","q1::swap (13D9FFB)",,,,,,,,"q0::if 1 then u3 (303F792)",,,"q0::swap (32A9FD4)","q1::measurement (24BFFF6)"
"1",,"q1::barrier (33228CF)","q1::swap (2CDF554)",,"q0::swap (13D9FFB)","q1::cx* (2DEE9B8)","q1::swap (7F9E7A)","q3::cx* (1D63779)","q3::swap (7C924D)",,,,,,"q4::if 3 then u3 (415554)","q4::swap (6124B6)","q3::measurement (24BFFF6)"
"2",,"q2::barrier (33228CF)",,,,,,,"q2::swap (36A4A66)","q1::cx* (87F341)","q1::swap (2BC9D96)",,,"q2::if 2 then u3 (323B425)",,,"q2::measurement (24BFFF6)"
"3",,,,"q3::cx (C36F4D)",,"q3::cx (2DEE9B8)","q3::swap (7F9E7A)",,"q1::swap (36A4A66)",,"q2::swap (2BC9D96)","q1::measurement (C78D49)",,,,"q1::swap (32A9FD4)"
"4",,,,,,,,"q4::cx (1D63779)","q4::swap (7C924D)","q3::cx (87F341)",,"q3::measurement (C78D49)",,,,"q3::swap (6124B6)"
"5"
