"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29"
"0","q0::u3 (3AA9F44)","q0::barrier (FC6485)","q0::u3 (DF88B0)","q0::swap (383B10C)","q1::cx (2BA3FF1)","q1::u3 (8C3F81)","q1::cx (EE3B8F)","q1::u3 (60180C)","q1::cx (1A47C00)","q1::u3 (2C85C03)","q1::cx (10B3C23)","q1::u3 (1651D40)","q1::swap (3A13971)","q2::cx (32A8306)","q2::u3 (7E9B3E)","q2::cx (737535)",,"q2::swap (AB04FE)",,,,,"q1::swap (2032CF5)",,,,,"q0::u3 (F1EE5)","q0::measurement (17CB368)"
"1",,"q2::barrier (FC6485)","q2::u3 (3DBCE37)",,"q2::cx* (2BA3FF1)",,"q2::cx* (EE3B8F)",,,,,"q2::u3 (360D871)","q2::swap (3A13971)","q1::cx (FE415D)","q1::u3 (F04C47)","q1::cx (72AE82)","q1::u3 (82298)","q1::swap (AB04FE)","q2::cx (C8C677)","q2::u3 (30EFA35)","q2::cx (386CBDE)",,,"q2::swap (21C949D)",,,,"q1::u3 (3BD2AD5)","q1::measurement (17CB368)"
"2","q1::u3 (FF9964)","q1::barrier (FC6485)",,"q1::swap (383B10C)",,,,"q0::u3 (2679C00)","q0::cx* (1A47C00)",,"q0::cx* (10B3C23)","q0::u3 (8E0743)",,"q0::cx* (FE415D)",,"q0::cx* (72AE82)",,,,,,"q0::u3 (493758)","q0::swap (2032CF5)","q1::swap (21C949D)","q2::cx (2DA8D96)","q2::u3 (1AEFA4A)","q2::cx (326CC9F)","q2::u3 (5D319F)","q2::measurement (17CB368)"
"3",,"q3::barrier (FC6485)",,,,,,,,,,"q3::u3 (292F21D)",,"q3::cx* (32A8306)",,"q3::cx* (737535)","q3::u3 (88160D)",,"q3::cx* (C8C677)",,"q3::cx* (386CBDE)","q3::u3 (1A68182)",,,"q3::cx* (2DA8D96)",,"q3::cx* (326CC9F)","q3::u3 (346BE99)","q3::measurement (17CB368)"
"4"
"5"
