"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17"
"0","q0::u3 (37759DE)","q0::barrier (33228CF)","q0::swap (17F27F2)","q1::cx* (C36F4D)","q1::swap (178678A)",,,,,,,,"q0::if 1 then u3 (303F792)",,,"q0::swap (13BA3DA)","q1::measurement (24BFFF6)"
"1",,"q1::barrier (33228CF)","q1::swap (17F27F2)",,"q0::swap (178678A)","q1::cx* (2DEE9B8)","q1::swap (318C2AC)","q3::cx* (1D63779)","q3::swap (3DED812)",,,,,,"q4::if 3 then u3 (415554)","q4::swap (2D598A3)","q3::measurement (24BFFF6)"
"2",,"q2::barrier (33228CF)",,,,,,,"q2::swap (1825DC2)","q1::cx* (87F341)","q1::swap (1954BD7)",,,"q2::if 2 then u3 (323B425)",,,"q2::measurement (24BFFF6)"
"3",,,,"q3::cx (C36F4D)",,"q3::cx (2DEE9B8)","q3::swap (318C2AC)",,"q1::swap (1825DC2)",,"q2::swap (1954BD7)","q1::measurement (C78D49)",,,,"q1::swap (13BA3DA)"
"4",,,,,,,,"q4::cx (1D63779)","q4::swap (3DED812)","q3::cx (87F341)",,"q3::measurement (C78D49)",,,,"q3::swap (2D598A3)"
"5"
