Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
3.0, 3.0 Quantum Teleportation, 0.1428416, 0.0145786, 0.0126937
3.1, 3.1 Superdense coding of 0, 0.0687769, 0.0012479, 0.0067024
3.2, 3.2 Superdense coding of 1, 0.0671682, 0.0015738, 0.0065103
3.3, 3.3 Superdense coding of 2, 0.0715654, 0.0019078, 0.0069106
3.4, 3.4 Superdense coding of 3, 0.0697276, 0.001544, 0.006753
3.5, 3.5 Deutsch Algorithm Constant True, 0.0681751, 0.0011904, 0.006647
3.6, 3.6 Deutsch Algorithm Constant False, 0.0751184, 0.0013534, 0.0073086
3.7, 3.7 Deutsch Algorithm Identity, 0.0664135, 0.0011058, 0.0064813
3.8, 3.8 Deutsch Algorithm Inversion, 0.0696704, 0.0015715, 0.0067416
3.9, 3.9 Deutsch-Josza with 3 qubits, 0.0721636, 0.0022391, 0.006943
3.10, 3.10 Bernstein Vazrani for value 3 with 3 qubits, 0.067365, 0.0015624, 0.0065322
3.11, 3.11 Simons Algorithm for 11, 0.0715772, 0.0013572, 0.006975
3.12, 3.12 3 Qubit Quantum Fourier Transform, 0.0710762, 0.001486, 0.0069035
3.13, 3.13 4 Qubit Quantum Fourier Transform, 0.0733314, 0.0017281, 0.0071144
3.14, 3.14 5 Qubit Quantum Fourier Transform, 0.0813437, 0.0018646, 0.0079065
3.15, 3.15 Gover's search with 9 items, 0.0949348, 0.0026585, 0.009154
3.16, 3.16 Quantum Approximate Optimization MaxCut, 0.0798335, 0.0016269, 0.0077662
3.17, 3.17 011_3_qubit_grover_50_, 0.0961254, 0.0030421, 0.0092633
3.18, 3.18 adder, 0.0589763, 0.0029678, 0.0055438
3.19, 3.19 bernstein-vazirani, 0.0760078, 0.0016524, 0.007385
3.20, 3.20 bigadder, 0.0655814, 0.0039288, 0.0061107
3.21, 3.21 Deutsch_Algorithm, 0.0643919, 0.0013092, 0.0062619
3.22, 3.22 inverseqft1, 0.0680557, 0.0020888, 0.006557
3.23, 3.23 inverseqft2, 0.072051, 0.0013322, 0.0070156
3.24, 3.24 ipea_3_pi_8, 0.0865891, 0.0030779, 0.0082903
3.25, 3.25 iswap, 0.0708852, 0.0013315, 0.0069086
3.26, 3.26 pea_3_pi_8, 0.0915117, 0.0028206, 0.008833
3.27, 3.27 qec, 0.0701733, 0.0016492, 0.0067867
3.28, 3.28 qe_qft_3, 0.0699218, 0.0013539, 0.0068072
3.29, 3.29 qe_qft_4, 0.0884622, 0.0020454, 0.0085718
3.30, 3.30 qe_qft_5, 0.1601235, 0.0022968, 0.0157212
3.31, 3.31 qft, 0.074845, 0.0016821, 0.0072594
3.32, 3.32 qpt, 0.0645897, 0.0010696, 0.0063047
3.33, 3.33 rb, 0.068207, 0.0012586, 0.0066464
3.34, 3.34 teleport, 0.065666, 0.0012697, 0.0064025
3.35, 3.35 teleportv2, 0.0682452, 0.0012083, 0.006623
3.36, 3.36 W-state, 0.0679925, 0.0014713, 0.0066116
3.37, 3.37 W3test, 0.0683028, 0.0014224, 0.0066232
3.38, 3.38 Shors Quantum Kernel, 21.4108358, 0.3075921, 2.1102246
