"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12"
"0","q0::h (2CCA100)","q0::swap (B5A3A7)","q1::cx* (2BEF119)",,,"q1::swap (262C0E4)",,"q3::cx* (B679E5)","q3::swap (178C804)",,"q1::h (3A11DC9)","q1::measurement (1FA6CAF)"
"1",,"q1::swap (B5A3A7)",,"q0::h (131A902)",,,"q0::swap (13F082A)","q1::cx* (26A490F)","q1::swap (178C804)","q3::cx* (1BC9188)","q3::h (AA0C13)","q3::measurement (1CDD22F)"
"2",,,"q2::cx (2BEF119)",,,,,"q2::cx (26A490F)",,,,"q2::measurement (3C63AB)"
"3",,,,,"q3::swap (337497E)",,,"q4::cx (B679E5)",,"q4::cx (1BC9188)",,"q4::measurement (21F8103)"
"4",,,,,"q4::swap (337497E)","q3::swap (262C0E4)","q1::swap (13F082A)"
"5"
