Circuit Id, Estimated Time
3.0,0.004000800000000009
3.1,0.0020006999999999963
3.2,0.0020006999999999963
3.3,0.0020006999999999963
3.4,0.0020007999999999975
3.5,0.001000600000000001
3.6,0.0010003999999999987
3.7,0.001000600000000001
3.8,0.0010005000000000012
3.9,0.0030017999999999993
3.10,0.0030013000000000023
3.11,0.0040011999999999956
3.12,2.400000000000003E-06
3.13,4.6000000000000025E-06
3.14,7.500000000000012E-06
3.15,1.6200000000000018E-05
3.16,0.005005499999999997
3.17,0.0030158999999999984
3.18,0.005020399999999992
3.19,0.0020038
3.20,0.009040700000000011
3.21,0.001000600000000001
3.22,0.015001599999999966
3.23,0.010001099999999992
3.24,0.018011199999999953
3.25,0.0020011000000000035
3.26,0.0040140000000000045
3.27,0.005001199999999995
3.28,0.0010024000000000003
3.29,0.001009800000000001
3.30,0.0010145000000000013
3.31,0.0010048
3.32,0.0010001000000000005
3.33,0.0010012999999999977
3.34,0.005000899999999988
3.35,0.0060009999999999985
3.36,0.0030039000000000025
3.37,0.0030013000000000023
3.38,0.012938899999999982
