"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25"
"0",,"q0::u3 (27B0E2)","q0::cx* (106B5E3)",,,"q0::cx* (1BF583)",,,,,,"q0::u3 (1097A22)","q0::cx* (3E32AA4)",,,,"q0::cx* (107E668)",,"q0::cx* (37828AF)","q0::u3 (3396E29)","q0::cx* (12BDB30)","q0::u3 (28AB4B7)","q0::cx* (1E32E18)",,"q0::measurement (FC9EDC)"
"1","q1::u3 (16537F9)","q1::u3 (8EF7C3)","q1::cx (106B5E3)","q1::u3 (13C6501)","q1::u3 (31F8D0E)","q1::cx (1BF583)","q1::u3 (FBA1A2)","q1::u3 (D8AEB2)","q1::u3 (39E2445)","q1::u3 (8F4675)","q1::cx* (3FFA4DF)",,,,"q1::cx* (2E07E1A)",,,"q1::u3 (14719B0)","q1::cx (37828AF)","q1::u3 (104DF77)","q1::cx (12BDB30)","q1::u3 (2E05A74)","q1::cx (1E32E18)",,"q1::measurement (E195C1)"
"2",,,,,,,,,,"q2::u3 (1554B35)","q2::cx (3FFA4DF)","q2::u3 (3FCCBD9)","q2::cx (3E32AA4)","q2::u3 (2FC7FCA)","q2::cx (2E07E1A)","q2::u3 (1E46EEF)","q2::cx (107E668)",,,,,,"q2::u3 (37FE737)","q2::u3 (37F20F7)","q2::measurement (3EE43D1)"
"3"
"4"
"5"
