"Operation Index","Operation Name","Latency","Priority"
0,"u3 (1EA0A2F)","00:00:00.0010000","22"
1,"barrier (13A5BA8)","00:00:00.0010000","21"
2,"cx (30D38E8)","00:00:00.0020000","20"
3,"cx (3770028)","00:00:00.0020000","18"
4,"cx (32F0169)","00:00:00.0020000","16"
5,"cx (A70CB4)","00:00:00.0020000","14"
6,"measurement (1DF725B)","00:00:00.0030000","12"
7,"if 1 then u3 (DB0535)","00:00:00.0020000","9"
8,"if 2 then u3 (3B32EE5)","00:00:00.0020000","7"
9,"if 3 then u3 (14CA613)","00:00:00.0020000","5"
10,"measurement (3B1D6B0)","00:00:00.0030000","3"
