"Operation Index","Operation Name","Latency","Priority"
0,"u3 (1C607E7)","00:00:00.0010000","15"
1,"u3 (3F64723)","00:00:00.0010000","17"
2,"cx (3A88043)","00:00:00.0020000","16"
3,"barrier (EC825F)","00:00:00.0010000","14"
4,"cx (509557)","00:00:00.0020000","13"
5,"u3 (2D54016)","00:00:00.0010000","11"
6,"measurement (17F40CC)","00:00:00.0030000","10"
7,"measurement (1794732)","00:00:00.0030000","8"
8,"if 1 then u3 (14380CA)","00:00:00.0020000","7"
9,"if 1 then u3 (35F871B)","00:00:00.0020000","5"
10,"measurement (25BBFF8)","00:00:00.0030000","3"
