Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
3.0, 3.0 Quantum Teleportation, 0.1474, 0.0154813, 0.0130583
3.1, 3.1 Superdense coding of 0, 0.0670744, 0.0012138, 0.0065395
3.2, 3.2 Superdense coding of 1, 0.0664261, 0.0012365, 0.0064673
3.3, 3.3 Superdense coding of 2, 0.065607, 0.0011549, 0.0063893
3.4, 3.4 Superdense coding of 3, 0.0677724, 0.0011356, 0.0066101
3.5, 3.5 Deutsch Algorithm Constant True, 0.0705878, 0.0012179, 0.0068394
3.6, 3.6 Deutsch Algorithm Constant False, 0.0732727, 0.0014521, 0.007153
3.7, 3.7 Deutsch Algorithm Identity, 0.0676019, 0.0011367, 0.0065792
3.8, 3.8 Deutsch Algorithm Inversion, 0.066568, 0.0011654, 0.0064896
3.9, 3.9 Deutsch-Josza with 3 qubits, 0.0719705, 0.0016779, 0.0069713
3.10, 3.10 Bernstein Vazrani for value 3 with 3 qubits, 0.0688819, 0.001507, 0.006675
3.11, 3.11 Simons Algorithm for 11, 0.0693439, 0.0014322, 0.0067294
3.12, 3.12 3 Qubit Quantum Fourier Transform, 0.0729953, 0.0013776, 0.0071146
3.13, 3.13 4 Qubit Quantum Fourier Transform, 0.074468, 0.0016422, 0.0072316
3.14, 3.14 5 Qubit Quantum Fourier Transform, 0.0830862, 0.0019867, 0.0080542
3.15, 3.15 Gover's search with 9 items, 0.0968424, 0.0027226, 0.0093594
3.16, 3.16 Quantum Approximate Optimization MaxCut, 0.0772977, 0.0016916, 0.0075179
3.17, 3.17 011_3_qubit_grover_50_, 0.0995345, 0.0030552, 0.0095987
3.18, 3.18 adder, 0.059587, 0.0026418, 0.0056518
3.19, 3.19 bernstein-vazirani, 0.0760729, 0.0015689, 0.0073957
3.20, 3.20 bigadder, 0.0663304, 0.0048345, 0.0061095
3.21, 3.21 Deutsch_Algorithm, 0.065863, 0.0012479, 0.0064064
3.22, 3.22 inverseqft1, 0.0687949, 0.0017289, 0.0066621
3.23, 3.23 inverseqft2, 0.0719642, 0.0017211, 0.0069705
3.24, 3.24 ipea_3_pi_8, 0.0863867, 0.0031378, 0.0082817
3.25, 3.25 iswap, 0.0708731, 0.0012908, 0.0069084
3.26, 3.26 pea_3_pi_8, 0.0911711, 0.0024588, 0.008821
3.27, 3.27 qec, 0.0685595, 0.0017472, 0.0066141
3.28, 3.28 qe_qft_3, 0.0721073, 0.0014512, 0.0070173
3.29, 3.29 qe_qft_4, 0.0882919, 0.002089, 0.0085728
3.30, 3.30 qe_qft_5, 0.0900659, 0.0024468, 0.0086649
3.31, 3.31 qft, 0.0763997, 0.0016863, 0.0074215
3.32, 3.32 qpt, 0.0693921, 0.00115, 0.0067837
3.33, 3.33 rb, 0.066675, 0.0012973, 0.0064922
3.34, 3.34 teleport, 0.0665382, 0.0013256, 0.00645
3.35, 3.35 teleportv2, 0.067769, 0.0012637, 0.0065921
3.36, 3.36 W-state, 0.0717674, 0.0014827, 0.0069568
3.37, 3.37 W3test, 0.0701415, 0.0012195, 0.0068449
3.38, 3.38 Shors Quantum Kernel, 22.1598705, 0.3023329, 2.185653
