"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12"
"0","q0::h (BCE5AD)","q0::x (30D38E8)","q0::swap (365BD83)","q2::cx* (32F0169)",,"q2::swap (293A9A3)",,,,"q3::x (DB0535)","q3::h (14CA613)","q3::measurement (344EDE4)"
"1",,,,,"q1::h (2A41316)",,"q1::cx* (A70CB4)",,,,"q1::h (3B1D6B0)","q1::measurement (16C5D04)"
"2",,,"q2::swap (365BD83)",,,,"q0::h (3C4ABCC)","q0::x (3770028)","q0::cx* (1DF725B)","q0::x (3B32EE5)","q0::h (1408C35)","q0::measurement (CF4527)"
"3","q3::x (1EA0A2F)","q3::h (13A5BA8)",,"q3::cx (32F0169)",,"q3::swap (293A9A3)","q2::cx (A70CB4)",,"q2::cx (1DF725B)"
"4"
"5"
