"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17"
"0","q0::u3 (2B16E69)","q0::u3 (3CE1B4)","q0::cx* (223EF57)",,"q0::cx* (15EBAB2)","q0::u3 (2C1A56C)","q0::cx* (CED0CD)",,"q0::cx* (17010DD)",,,,,,,,"q0::measurement (255CD2A)"
"1",,,"q1::cx (223EF57)","q1::u3 (3436A13)","q1::cx (15EBAB2)",,,,"q1::u3 (549043)","q1::u3 (2F91261)","q1::u3 (7555F9)","q1::cx* (2005C8)",,"q1::cx* (221D462)",,,"q1::measurement (255CD2A)"
"2",,,,,,,"q2::cx (CED0CD)","q2::u3 (3455735)","q2::cx (17010DD)",,"q2::u3 (F097C6)","q2::cx (2005C8)","q2::u3 (120340A)","q2::cx (221D462)","q2::u3 (3307778)","q2::u3 (B4333D)","q2::measurement (255CD2A)"
"3",,,,,,,,,,,,,,,,,"q3::measurement (255CD2A)"
"4",,,,,,,,,,,,,,,,,"q4::measurement (255CD2A)"
"5"
