"Operation Index","Operation Name","Latency","Priority"
0,"h (27CC695)","00:00:00.0010000","10"
1,"cx (262FB3D)","00:00:00.0020000","9"
2,"x (17AD52B)","00:00:00.0010000","7"
3,"cx (1517E87)","00:00:00.0020000","6"
4,"h (3DD72C2)","00:00:00.0010000","4"
5,"measurement (2C908D5)","00:00:00.0030000","3"
6,"measurement (1114F81)","00:00:00.0030000","3"
