"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9"
"0",,"q1::h (26EA292)","q1::cx* (10CF21E)",,,"q1::h (1DD78FE)",,,"q1::measurement (3AD8B93)"
"1",,,,"q2::h (1E3B723)","q2::cx* (1748312)","q2::h (C940EE)",,,"q2::measurement (119E831)"
"2",,,,,,"q3::h (101703C)","q3::i (1189BAA)","q3::h (3134865)","q3::measurement (1E929C1)"
"3","q0::h (B8ACAC)","q0::z (27E1210)","q0::cx (10CF21E)",,"q0::cx (1748312)"
"4"
"5"
