"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31"
"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"q0::h (25CD639)","q0::u3 (20F33B6)","q0::u3 (3C3ECB7)","q0::measurement (303CFB2)"
"1","q1::h (1438807)","q1::cx* (3C14B78)",,"q1::cx* (28E11B)",,,,,,,,,"q1::u3 (288D16D)","q1::cx* (7F716D)",,,"q1::cx* (52E38D)",,,,,,,,,,,,,"q1::u3 (1E35270)","q1::measurement (3224D42)"
"2","q2::h (35FC844)","q2::cx (3C14B78)","q2::u1 (1CBA73B)","q2::cx (28E11B)",,"q2::cx (16FE9F8)","q2::u1 (EF39BB)","q2::cx (690795)",,"q2::cx (3B1443F)","q2::u1 (13B663A)","q2::cx (3169810)","q2::u3 (2CF5CDD)","q2::cx (7F716D)",,"q2::u1 (7AFCD6)","q2::cx (52E38D)",,"q2::cx (2E9FFFA)","q2::u1 (239FFCE)","q2::cx (9FE42)",,"q2::cx (59F057)","q2::u1 (3297317)","q2::cx (750BD1)",,,,,"q2::u3 (FDE5F2)","q2::measurement (34B759)"
"3",,,,,,,,,"q3::h (25E0A69)","q3::cx* (3B1443F)",,"q3::cx* (3169810)","q3::cx (3CB5890)",,"q3::u1 (2261D15)","q3::cx (35705BE)",,,,,,"q3::u3 (14A43C5)","q3::cx* (59F057)",,"q3::cx* (750BD1)","q3::cx (1D6A60)","q3::u1 (108BD64)","q3::cx (14EA886)",,"q3::u3 (ED1586)","q3::measurement (1DA7227)"
"4",,,,,"q4::h (14E5DB8)","q4::cx* (16FE9F8)",,"q4::cx* (690795)",,,,,"q4::cx* (3CB5890)",,,"q4::cx* (35705BE)",,"q4::u3 (39C61EF)","q4::cx* (2E9FFFA)",,"q4::cx* (9FE42)",,,,,"q4::cx* (1D6A60)",,"q4::cx* (14EA886)",,"q4::u3 (55C1BE)","q4::measurement (AE0365)"
"5"
