"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27"
"0","q0::u3 (713E1E)","q0::barrier (3D4A780)","q0::u3 (279E386)","q0::cx (90FD76)","q0::u3 (118E92B)","q0::cx (1E03287)","q0::u3 (E1C6C3)","q0::cx (2EF032A)","q0::u3 (2671C81)","q0::cx (1A0008D)","q0::u3 (2A004F7)","q0::swap (25DCD74)","q2::cx (10170A)","q2::u3 (90CF60)","q2::cx (1174A66)",,"q2::swap (14C3915)",,,,,,,,,"q0::u3 (1D19D9E)","q0::measurement (20B1601)"
"1",,"q2::barrier (3D4A780)","q2::u3 (248FFB7)","q2::cx* (90FD76)",,"q2::cx* (1E03287)",,,,,"q2::u3 (3EFFCE0)","q2::swap (25DCD74)","q0::cx (A19231)","q0::u3 (1AE23BB)","q0::cx (31F4197)","q0::u3 (194E57)","q0::swap (14C3915)","q2::cx (352DF0C)","q2::u3 (1E9D76C)","q2::cx (13892D2)",,"q2::swap (3AE01BE)",,,,"q3::u3 (2FD2966)","q3::measurement (20B1601)"
"2","q1::u3 (3FB2F0E)","q1::barrier (3D4A780)",,,,,"q1::u3 (36FE3E8)","q1::cx* (2EF032A)",,"q1::cx* (1A0008D)","q1::u3 (3A02CB0)",,"q1::cx* (A19231)",,"q1::cx* (31F4197)",,,,,,"q1::u3 (E3C113)",,"q1::cx (21A1964)","q1::u3 (2EAE488)","q1::cx (24208CF)","q1::u3 (524F48)","q1::measurement (20B1601)"
"3",,"q3::barrier (3D4A780)",,,,,,,,,"q3::u3 (1C9AB)",,"q3::cx* (10170A)",,"q3::cx* (1174A66)","q3::u3 (5E8A8F)",,"q3::cx* (352DF0C)",,"q3::cx* (13892D2)","q3::u3 (2E67499)","q3::swap (3AE01BE)","q2::cx* (21A1964)",,"q2::cx* (24208CF)","q2::u3 (2E4C98E)","q2::measurement (20B1601)"
"4"
"5"
