"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23"
"0","q0::h (1BB0D09)","q0::cx (2F2004)","q0::u1 (1A82025)","q0::cx (2E92153)","q0::u1 (2322BEE)","q0::cx (1DFE657)","q0::u1 (DF190F)","q0::cx (3D7E188)","q0::u1 (296EDCB)","q0::swap (37E3228)","q2::cx (1C13D7C)","q2::u1 (3CB2964)","q2::cx (224748A)",,"q2::swap (36FC36F)",,,,,,,,"q3::u1 (34818DF)"
"1","q1::u1 (3937555)","q1::cx* (2F2004)",,"q1::cx* (2E92153)",,,,,"q1::h (188DFDC)",,"q1::cx (4ED4DB)","q1::u1 (2C57BB6)","q1::cx (F1596E)","q1::u1 (7C24E3)",,"q1::cx (347ABF0)","q1::u1 (1850B72)","q1::cx (1AD6705)",,,,,"q1::u1 (3189F33)"
"2",,,,,"q2::u1 (3C38B5F)","q2::cx* (1DFE657)",,"q2::cx* (3D7E188)","q2::u1 (1CFDEC3)","q2::swap (37E3228)","q0::cx* (4ED4DB)",,"q0::cx* (F1596E)",,,,,,"q0::h (3DD98CB)","q0::cx (11D5869)","q0::u1 (2081BB9)","q0::cx (248F988)","q0::u1 (90C5D0)"
"3",,,,,,,,,"q3::u1 (34E5C2A)",,"q3::cx* (1C13D7C)",,"q3::cx* (224748A)","q3::u1 (5D4BFE)","q3::swap (36FC36F)","q2::cx* (347ABF0)",,"q2::cx* (1AD6705)","q2::u1 (2CA5F28)","q2::cx* (11D5869)",,"q2::cx* (248F988)","q2::h (116F450)"
"4"
"5"
